,Business_name,Street_address,Categories,Cost,Rating,Review Count,Web_address,Rental_address
11,Gradisca,"126 W 13th StNew York, NY 10011","[Italian,, Salad]",$$,4.0 star rating,319 reviews,https://www.yelp.com/biz/biz/gradisca-new-york,"118 West 14th Street, New York, NY 10011"
12,Rey Diving,"125 W 14th StNew York, NY 10011","[Scuba, Diving]",$$,5.0 star rating,32 reviews,https://www.yelp.com/biz/biz/rey-diving-new-york,"118 West 14th Street, New York, NY 10011"
13,Sotto 13,"140 W 13th StWest Village, NY 10011","[Italian,, Pizza,, Breakfast, &, Brunch]",$$,4.0 star rating,595 reviews,https://www.yelp.com/biz/biz/sotto-13-west-village,"118 West 14th Street, New York, NY 10011"
14,Bling Lash,"108 W 14th StNew York, NY 10011","[Eyelash, Service]",$,4.0 star rating,176 reviews,https://www.yelp.com/biz/biz/bling-lash-new-york,"118 West 14th Street, New York, NY 10011"
15,Cafe Loup,"105 W 13th StNew York, NY 10011",[French],$$$,4.0 star rating,158 reviews,https://www.yelp.com/biz/biz/cafe-loup-new-york,"118 West 14th Street, New York, NY 10011"
16,Green Symphony,"547 6th Ave 14 StNew York, NY 10011",[Pizza],$$,4.0 star rating,61 reviews,https://www.yelp.com/biz/biz/green-symphony-new-york-2,"118 West 14th Street, New York, NY 10011"
17,Flex Mussels,"154 W 13th StNew York, NY 10011",[Seafood],$$,4.0 star rating,676 reviews,https://www.yelp.com/biz/biz/flex-mussels-new-york-2,"118 West 14th Street, New York, NY 10011"
18,Good Stuff Diner,"109 W 14th StNew York, NY 10011",[Diners],$,3.5 star rating,311 reviews,https://www.yelp.com/biz/biz/good-stuff-diner-new-york,"118 West 14th Street, New York, NY 10011"
19,Spain Restaurant,"113 W 13th StNew York, NY 10011",[Spanish],$$,3.5 star rating,165 reviews,https://www.yelp.com/biz/biz/spain-restaurant-new-york,"118 West 14th Street, New York, NY 10011"
20,Trinidad Golden Place Restaurant,"788 Nostrand AveBrooklyn, NY 11216","[Chinese,, Caribbean]",$$,4.0 star rating,71 reviews,https://www.yelp.com/biz/biz/trinidad-golden-place-restaurant-brooklyn,"778 Nostrand Ave, Brooklyn, NY 11215"
21,Colina Cuervo,"759 Nostrand AveCrown Heights, NY 11216","[Cafes,, Latin, American,, Coffee, &, Tea]",$,4.5 star rating,74 reviews,https://www.yelp.com/biz/biz/colina-cuervo-crown-heights,"778 Nostrand Ave, Brooklyn, NY 11215"
22,Two Saints,"753 Nostrand AveCrown Heights, NY 11216",[Bars],$,4.0 star rating,41 reviews,https://www.yelp.com/biz/biz/two-saints-crown-heights-3,"778 Nostrand Ave, Brooklyn, NY 11215"
23,Tinto,"715 Nostrand AveBrooklyn, NY 11216","[Coffee, &, Tea,, Ice, Cream, &, Frozen, Yogurt,, Breakfast, &, Brunch]",$,4.5 star rating,99 reviews,https://www.yelp.com/biz/biz/tinto-brooklyn,"778 Nostrand Ave, Brooklyn, NY 11215"
24,Taqueria Milear,"752A Nostrand AveCrown Heights, NY 11216",[Mexican],$$,4.5 star rating,86 reviews,https://www.yelp.com/biz/biz/taqueria-milear-crown-heights,"778 Nostrand Ave, Brooklyn, NY 11215"
25,Gloria’s Caribbean Cuisine,"764 Nostrand AveBrooklyn, NY 11216",[Caribbean],$,3.5 star rating,222 reviews,https://www.yelp.com/biz/biz/glorias-caribbean-cuisine-brooklyn-2,"778 Nostrand Ave, Brooklyn, NY 11215"
26,Silver Krust Restaurant,"747 Nostrand AveBrooklyn, NY 11216",[Caribbean],$$,4.5 star rating,13 reviews,https://www.yelp.com/biz/biz/silver-krust-restaurant-brooklyn,"778 Nostrand Ave, Brooklyn, NY 11215"
27,Masago Bistro,"766 Nostrand AveBrooklyn, NY 11216","[Japanese,, Sushi, Bars]",$$,3.0 star rating,83 reviews,https://www.yelp.com/biz/biz/masago-bistro-brooklyn,"778 Nostrand Ave, Brooklyn, NY 11215"
28,Linden Salon,"755 Nostrand AveBrooklyn, NY 11216","[Hair, Salons]",$$,5.0 star rating,25 reviews,https://www.yelp.com/biz/biz/linden-salon-brooklyn-3,"778 Nostrand Ave, Brooklyn, NY 11215"
29,Meme’s Healthy Nibbles,"707 Nostrand AveBrooklyn, NY 11216","[Burgers,, Sandwiches,, Vegan]",$$$,4.0 star rating,97 reviews,https://www.yelp.com/biz/biz/memes-healthy-nibbles-brooklyn,"778 Nostrand Ave, Brooklyn, NY 11215"
30,The Burger Garage,"25-36 Jackson AveLong Island City, NY 11101","[American, (Traditional),, Burgers,, Gluten-Free]",$$,3.5 star rating,276 reviews,https://www.yelp.com/biz/biz/the-burger-garage-long-island-city-2,"5 Court Square, Long Island City, NY 11101"
31,Dog Island City,"27-18 44th DrLong Island City, NY 11101","[Pet, Boarding/Pet, Sitting,, Pet, Training,, Pet, Groomers]",$,5.0 star rating,24 reviews,https://www.yelp.com/biz/biz/dog-island-city-long-island-city,"5 Court Square, Long Island City, NY 11101"
32,Yoga Studio 6 LIC,"27-28 Thomson AveLong Island City, NY 11101",[Yoga],$$,5.0 star rating,22 reviews,https://www.yelp.com/biz/biz/yoga-studio-6-lic-long-island-city,"5 Court Square, Long Island City, NY 11101"
33,Il Falco,"2150 44th DrLong Island City, NY 11101",[Italian],$$,4.5 star rating,170 reviews,https://www.yelp.com/biz/biz/il-falco-long-island-city,"5 Court Square, Long Island City, NY 11101"
34,Dutch Kills,"27-24 Jackson AveLong Island City, NY 11101","[Lounges,, Cocktail, Bars]",$$$,4.0 star rating,599 reviews,https://www.yelp.com/biz/biz/dutch-kills-long-island-city,"5 Court Square, Long Island City, NY 11101"
35,LIC Barbershop & Unisex,"25-01 Jackson AveLong Island City, NY 11101","[Barbers,, Nail, Salons]",$$,5.0 star rating,114 reviews,https://www.yelp.com/biz/biz/lic-barbershop-and-unisex-long-island-city,"5 Court Square, Long Island City, NY 11101"
36,LIC Market,"21-52 44th DrLong Island City, NY 11101","[Breakfast, &, Brunch,, American, (New)]",$$,4.0 star rating,591 reviews,https://www.yelp.com/biz/biz/lic-market-long-island-city,"5 Court Square, Long Island City, NY 11101"
37,Caffeina Espresso Bar,"44-02 23rd StLong Island City, NY 11101",[Cafes],$$,4.5 star rating,35 reviews,https://www.yelp.com/biz/biz/caffeina-espresso-bar-long-island-city,"5 Court Square, Long Island City, NY 11101"
38,M. Wells Steakhouse,"43-15 Crescent StLong Island City, NY 11101","[Steakhouses,, Wine, Bars]",$$$,3.5 star rating,285 reviews,https://www.yelp.com/biz/biz/m-wells-steakhouse-long-island-city,"5 Court Square, Long Island City, NY 11101"
39,The Beast Next Door,"42-51 27th StLong Island City, NY 11101","[Bars,, American, (New)]",$$,4.5 star rating,93 reviews,https://www.yelp.com/biz/biz/the-beast-next-door-long-island-city,"5 Court Square, Long Island City, NY 11101"
40,Amélie,"22 W 8th StNew York, NY 10011","[French,, Wine, Bars]",$$,4.5 star rating,1463 reviews,https://www.yelp.com/biz/biz/am%C3%A9lie-new-york,"16 W 8th Street, New York, NY 10011"
41,Arts and Crafts Beer Parlor,"26 W 8th StNew York, NY 10011","[Pubs,, Art, Galleries]",$$,4.5 star rating,166 reviews,https://www.yelp.com/biz/biz/arts-and-crafts-beer-parlor-new-york,"16 W 8th Street, New York, NY 10011"
42,Analogue,"19 W 8th StNew York, NY 10011","[Cocktail, Bars,, Jazz, &, Blues,, Lounges]",$$,4.0 star rating,162 reviews,https://www.yelp.com/biz/biz/analogue-new-york,"16 W 8th Street, New York, NY 10011"
43,Rasa,"25 W 8th StNew York, NY 10011","[Malaysian,, Sushi, Bars,, Halal]",$$,4.0 star rating,374 reviews,https://www.yelp.com/biz/biz/rasa-new-york,"16 W 8th Street, New York, NY 10011"
44,Stumptown,"30 W 8th StNew York, NY 10011","[Coffee, &, Tea]",$,4.5 star rating,304 reviews,https://www.yelp.com/biz/biz/stumptown-new-york,"16 W 8th Street, New York, NY 10011"
45,8th Street Winecellar,"28 W 8th StNew York, NY 10011","[Wine, Bars]",$,4.0 star rating,297 reviews,https://www.yelp.com/biz/biz/8th-street-winecellar-new-york-2,"16 W 8th Street, New York, NY 10011"
46,La Panineria,"1 W 8th StNew York, NY 10011","[Italian,, Sandwiches]",$,4.5 star rating,139 reviews,https://www.yelp.com/biz/biz/la-panineria-new-york,"16 W 8th Street, New York, NY 10011"
47,305 Fitness,"18 W 8th StNew York, NY 10011","[Gyms,, Dance, Studios,, Trainers]",$,5.0 star rating,99 reviews,https://www.yelp.com/biz/biz/305-fitness-new-york-2,"16 W 8th Street, New York, NY 10011"
48,Il Bambino,"48 W 8th StNew York, NY 10011","[Italian,, Sandwiches,, Wine, Bars]",$$,4.5 star rating,72 reviews,https://www.yelp.com/biz/biz/il-bambino-new-york,"16 W 8th Street, New York, NY 10011"
49,Lena,"1 W 8th StManhattan, NY 10011","[Coffee, &, Tea,, Sandwiches]",$,4.5 star rating,60 reviews,https://www.yelp.com/biz/biz/lena-manhattan,"16 W 8th Street, New York, NY 10011"
50,Guadalupana Deli And Victoria Restaurant,"3825 BroadwayNew York, NY 10032","[Delis,, Mexican]",$,4.0 star rating,19 reviews,https://www.yelp.com/biz/biz/guadalupana-deli-and-victoria-restaurant-new-york,"3821 Broadway, New York, NY 10032"
51,La Fiesta,"3797 BroadwayNew York, NY 10032",[Mexican],$$,4.0 star rating,78 reviews,https://www.yelp.com/biz/biz/la-fiesta-new-york,"3821 Broadway, New York, NY 10032"
52,Taszo Espresso Bar,"5 Edward M Morgan PlNew York, NY 10032","[Cafes,, Coffee, &, Tea]",$,4.0 star rating,182 reviews,https://www.yelp.com/biz/biz/taszo-espresso-bar-new-york,"3821 Broadway, New York, NY 10032"
53,Coral Restaurant,"3801 BroadwayNew York, NY 10032","[Donuts,, American, (New)]",$$$$,3.5 star rating,82 reviews,https://www.yelp.com/biz/biz/coral-restaurant-new-york,"3821 Broadway, New York, NY 10032"
54,Sweet Life Pastry,"3887 BroadwayNew York, NY 10032","[Bakeries,, Cafes,, Mexican]",$$,4.5 star rating,68 reviews,https://www.yelp.com/biz/biz/sweet-life-pastry-new-york,"3821 Broadway, New York, NY 10032"
55,Galaxy Gourmet Deli,"3778 BroadwayNew York, NY 10032",[Delis],$$,4.5 star rating,15 reviews,https://www.yelp.com/biz/biz/galaxy-gourmet-deli-new-york,"3821 Broadway, New York, NY 10032"
56,Restaurante La Libertad,"3764 BroadwayNew York, NY 10032",[Salvadoran],$,4.0 star rating,98 reviews,https://www.yelp.com/biz/biz/restaurante-la-libertad-new-york,"3821 Broadway, New York, NY 10032"
57,Ricos Tacos Mexicanos,"Broadway & 159thNew York, NY 10032",[Mexican],$,5.0 star rating,2 reviews,https://www.yelp.com/biz/biz/ricos-tacos-mexicanos-new-york,"3821 Broadway, New York, NY 10032"
58,Caffebene,"9 Edward M Morgan PlNew York, NY 10032","[Gelato,, Coffee, &, Tea,, Cafes]",$,3.5 star rating,50 reviews,https://www.yelp.com/biz/biz/caffebene-new-york-6,"3821 Broadway, New York, NY 10032"
59,Dunkin’ Donuts,"3857 BroadwayNew York, NY 10032","[Donuts,, Coffee, &, Tea]",$$,4.5 star rating,6 reviews,https://www.yelp.com/biz/biz/dunkin-donuts-new-york-107,"3821 Broadway, New York, NY 10032"
70,Legend Upper West,"258 W 109th StNew York, NY 10025",[Chinese],$,3.0 star rating,112 reviews,https://www.yelp.com/biz/biz/legend-upper-west-new-york,"256 W 109th Street, New York, NY 10025"
71,The Manchester Diner,"2800 BroadwayNew York, NY 10025",[Diners],$$,3.5 star rating,100 reviews,https://www.yelp.com/biz/biz/the-manchester-diner-new-york,"256 W 109th Street, New York, NY 10025"
72,Cascabel Taqueria,"2799 Broadway 108th StNew York, NY 10025","[Mexican,, Bars]",$$,3.5 star rating,288 reviews,https://www.yelp.com/biz/biz/cascabel-taqueria-new-york-2,"256 W 109th Street, New York, NY 10025"
73,Absolute Bagels,"2788 BroadwayNew York, NY 10025","[Bakeries,, Bagels]",$$,4.5 star rating,929 reviews,https://www.yelp.com/biz/biz/absolute-bagels-new-york,"256 W 109th Street, New York, NY 10025"
74,The Hamilton,"998 Amsterdam AvenueNew York, NY 10025","[American, (New),, Cocktail, Bars,, Whiskey, Bars]",$$,4.5 star rating,61 reviews,https://www.yelp.com/biz/biz/the-hamilton-new-york-3,"256 W 109th Street, New York, NY 10025"
75,Koronet Pizza,"2848 BroadwayNew York, NY 10025",[Pizza],$$$$,3.5 star rating,545 reviews,https://www.yelp.com/biz/biz/koronet-pizza-new-york,"256 W 109th Street, New York, NY 10025"
76,Roti Roll Bombay Frankie,"994 Amsterdam AveNew York, NY 10025",[Indian],$$$$,4.0 star rating,307 reviews,https://www.yelp.com/biz/biz/roti-roll-bombay-frankie-new-york,"256 W 109th Street, New York, NY 10025"
77,Thai Market,"960 Amsterdam AveNew York, NY 10025",[Thai],$$,4.0 star rating,732 reviews,https://www.yelp.com/biz/biz/thai-market-new-york,"256 W 109th Street, New York, NY 10025"
78,Mel’s Burger Bar,"2850 BroadwayNew York, NY 10025",[Burgers],$$,3.5 star rating,561 reviews,https://www.yelp.com/biz/biz/mels-burger-bar-new-york,"256 W 109th Street, New York, NY 10025"
79,Smoke Jazz Club,"2751 BroadwayNew York, NY 10025","[Jazz, &, Blues,, Music, Venues,, Soul, Food]",$$,4.0 star rating,262 reviews,https://www.yelp.com/biz/biz/smoke-jazz-club-new-york,"256 W 109th Street, New York, NY 10025"
80,Thursday Kitchen,"424 E 9th StNew York, NY 10009","[Korean,, American, (New),, Tapas/Small, Plates]",$$,4.5 star rating,184 reviews,https://www.yelp.com/biz/biz/thursday-kitchen-new-york,"270 E 10th Street, New York, NY 10009"
81,Performance Space 122,"150 1st AveNew York, NY 10009","[Performing, Arts]",$$,4.5 star rating,9 reviews,https://www.yelp.com/biz/biz/performance-space-122-new-york,"270 E 10th Street, New York, NY 10009"
82,Cagen Japan Restaurant,"414 E 9th StNew York, NY 10009","[Japanese,, Sushi, Bars]",$$,4.5 star rating,110 reviews,https://www.yelp.com/biz/biz/cagen-japan-restaurant-new-york-2,"270 E 10th Street, New York, NY 10009"
83,Theater 80 St Marks,"80 Saint Marks PlNew York, NY 10003","[Performing, Arts]",$$$,4.5 star rating,42 reviews,https://www.yelp.com/biz/biz/theater-80-st-marks-new-york,"270 E 10th Street, New York, NY 10009"
84,Kura,"130 St Marks PlNew York, NY 10009","[Japanese,, Sushi, Bars]",$$$,4.5 star rating,275 reviews,https://www.yelp.com/biz/biz/kura-new-york,"270 E 10th Street, New York, NY 10009"
85,Pinks,"242 E 10th StNew York, NY 10003","[Cocktail, Bars,, American, (New),, Music, Venues]",$,4.0 star rating,80 reviews,https://www.yelp.com/biz/biz/pinks-new-york,"270 E 10th Street, New York, NY 10009"
86,Brindle Room,"277 E 10th StNew York, NY 10009","[American, (New),, Bars,, Breakfast, &, Brunch]",$$$,4.0 star rating,744 reviews,https://www.yelp.com/biz/biz/brindle-room-new-york,"270 E 10th Street, New York, NY 10009"
87,Creative Little Garden,"530 E 6th StNew York, NY 10009","[Botanical, Gardens]",$$,5.0 star rating,27 reviews,https://www.yelp.com/biz/biz/creative-little-garden-new-york,"270 E 10th Street, New York, NY 10009"
88,Quintessence,"263 E 10th StNew York, NY 10009","[Live/Raw, Food,, Vegan,, Kosher]",$$$,4.0 star rating,419 reviews,https://www.yelp.com/biz/biz/quintessence-new-york-2,"270 E 10th Street, New York, NY 10009"
89,Jules Bistro,"65 Saint Marks PlNew York, NY 10003","[French,, Jazz, &, Blues]",$$,3.5 star rating,401 reviews,https://www.yelp.com/biz/biz/jules-bistro-new-york,"270 E 10th Street, New York, NY 10009"
90,McNulty’s Tea & Coffee Co,"109 Christopher StNew York, NY 10014","[Coffee, &, Tea]",$$,4.5 star rating,205 reviews,https://www.yelp.com/biz/biz/mcnultys-tea-and-coffee-co-new-york,"120 Christopher Street, New York, NY 10014"
91,Pho Sure,"120 Christopher StNew York, NY 10014","[Vietnamese,, Asian, Fusion]",$$,4.0 star rating,168 reviews,https://www.yelp.com/biz/biz/pho-sure-new-york-2,"120 Christopher Street, New York, NY 10014"
92,L’Artusi,"228 W 10th StNew York, NY 10014",[Italian],$$,4.5 star rating,1230 reviews,https://www.yelp.com/biz/biz/l-artusi-new-york,"120 Christopher Street, New York, NY 10014"
93,Employees Only,"510 Hudson StNew York, NY 10014","[American, (New),, Lounges]",$$,4.0 star rating,1136 reviews,https://www.yelp.com/biz/biz/employees-only-new-york,"120 Christopher Street, New York, NY 10014"
94,Sanpanino,"494 Hudson StNew York, NY 10014",[Sandwiches],$$,4.0 star rating,123 reviews,https://www.yelp.com/biz/biz/sanpanino-new-york,"120 Christopher Street, New York, NY 10014"
95,The Little Owl,"90 Bedford StNew York, NY 10014","[Desserts,, Wine, Bars,, Mediterranean]",$,4.0 star rating,1113 reviews,https://www.yelp.com/biz/biz/the-little-owl-new-york,"120 Christopher Street, New York, NY 10014"
96,Karahi Indian Cuisine,"118 Christopher StNew York, NY 10014",[Indian],$$,3.5 star rating,119 reviews,https://www.yelp.com/biz/biz/karahi-indian-cuisine-new-york-2,"120 Christopher Street, New York, NY 10014"
97,I Sodi,"105 Christopher StNew York, NY 10014",[Tuscan],$$,4.0 star rating,193 reviews,https://www.yelp.com/biz/biz/i-sodi-new-york,"120 Christopher Street, New York, NY 10014"
98,Buvette,"42 Grove StNew York, NY 10014","[French,, Italian,, Breakfast, &, Brunch]",$,4.0 star rating,1067 reviews,https://www.yelp.com/biz/biz/buvette-new-york,"120 Christopher Street, New York, NY 10014"
99,2nd City,"525 Hudson StNew York, NY 10014","[Filipino,, Asian, Fusion,, Mexican]",$$$,4.5 star rating,218 reviews,https://www.yelp.com/biz/biz/2nd-city-new-york,"120 Christopher Street, New York, NY 10014"
100,Amélie,"22 W 8th StNew York, NY 10011","[French,, Wine, Bars]",$$$$,4.5 star rating,1463 reviews,https://www.yelp.com/biz/biz/am%C3%A9lie-new-york,"15 W 8th Street, New York, NY 10011"
101,Rasa,"25 W 8th StNew York, NY 10011","[Malaysian,, Sushi, Bars,, Halal]",$$,4.0 star rating,374 reviews,https://www.yelp.com/biz/biz/rasa-new-york,"15 W 8th Street, New York, NY 10011"
102,La Panineria,"1 W 8th StNew York, NY 10011","[Italian,, Sandwiches]",$$$,4.5 star rating,139 reviews,https://www.yelp.com/biz/biz/la-panineria-new-york,"15 W 8th Street, New York, NY 10011"
103,Cho Cho San,"15 W 8th StNew York, NY 10011","[Japanese,, Sushi, Bars]",$$,4.0 star rating,121 reviews,https://www.yelp.com/biz/biz/cho-cho-san-new-york,"15 W 8th Street, New York, NY 10011"
104,Eva’s Kitchen,"11 W 8th StNew York, NY 10011","[Specialty, Food,, Mediterranean,, Juice, Bars, &, Smoothies]",$$,4.0 star rating,219 reviews,https://www.yelp.com/biz/biz/evas-kitchen-new-york,"15 W 8th Street, New York, NY 10011"
105,Il Bambino,"48 W 8th StNew York, NY 10011","[Italian,, Sandwiches,, Wine, Bars]",$$,4.5 star rating,72 reviews,https://www.yelp.com/biz/biz/il-bambino-new-york,"15 W 8th Street, New York, NY 10011"
106,Sticky’s Finger Joint,"31 W 8th StNew York, NY 10011","[American, (New),, Chicken, Wings]",$$,3.5 star rating,457 reviews,https://www.yelp.com/biz/biz/stickys-finger-joint-new-york,"15 W 8th Street, New York, NY 10011"
107,Lena,"1 W 8th StManhattan, NY 10011","[Coffee, &, Tea,, Sandwiches]",$,4.5 star rating,60 reviews,https://www.yelp.com/biz/biz/lena-manhattan,"15 W 8th Street, New York, NY 10011"
108,Claudette,"24 5th AveNew York, NY 10011",[French],$$$$,4.0 star rating,211 reviews,https://www.yelp.com/biz/biz/claudette-new-york,"15 W 8th Street, New York, NY 10011"
109,Babbo,"110 Waverly PlNew York, NY 10011","[Italian,, Bars]",$$,4.0 star rating,2005 reviews,https://www.yelp.com/biz/biz/babbo-new-york,"15 W 8th Street, New York, NY 10011"
110,Upstate,"95 1st AveNew York, NY 10003",[Seafood],$$,4.5 star rating,1296 reviews,https://www.yelp.com/biz/biz/upstate-new-york-2,"97 1st Avenue, New York, NY 10003"
111,The Eddy,"342 E 6th StNew York, NY 10003","[American, (New)]",$$,4.5 star rating,268 reviews,https://www.yelp.com/biz/biz/the-eddy-new-york,"97 1st Avenue, New York, NY 10003"
112,Raku,"342 E 6th StNew York, NY 10003","[Japanese,, Noodles]",$$,4.5 star rating,292 reviews,https://www.yelp.com/biz/biz/raku-new-york-4,"97 1st Avenue, New York, NY 10003"
113,Sigiri,"91 1st AveNew York, NY 10003","[Sri, Lankan]",$$,4.0 star rating,433 reviews,https://www.yelp.com/biz/biz/sigiri-new-york,"97 1st Avenue, New York, NY 10003"
114,Apna Masala Indian Cuisine,"344 E 6th StNew York, NY 10003",[Indian],$$,4.0 star rating,120 reviews,https://www.yelp.com/biz/biz/apna-masala-indian-cuisine-new-york,"97 1st Avenue, New York, NY 10003"
115,Milon,"93 1st AveNew York, NY 10003","[Indian,, Bangladeshi]",$$$,3.5 star rating,404 reviews,https://www.yelp.com/biz/biz/milon-new-york,"97 1st Avenue, New York, NY 10003"
116,Polish G.I. Delicatessen,"109 First AveNew York, NY 10003","[Grocery,, Delis]",$,4.5 star rating,39 reviews,https://www.yelp.com/biz/biz/polish-g-i-delicatessen-new-york,"97 1st Avenue, New York, NY 10003"
117,Kyo Ya,"94 E 7th StNew York, NY 10009",[Japanese],$$,4.5 star rating,380 reviews,https://www.yelp.com/biz/biz/kyo-ya-new-york,"97 1st Avenue, New York, NY 10003"
118,Ugly Kitchen,"103 1st AveNew York, NY 10003","[Bars,, Asian, Fusion,, Filipino]",$$,4.0 star rating,439 reviews,https://www.yelp.com/biz/biz/ugly-kitchen-new-york,"97 1st Avenue, New York, NY 10003"
119,Awash Ethiopian Restaurant,"338 E 6th StNew York, NY 10003",[Ethiopian],$$,3.5 star rating,236 reviews,https://www.yelp.com/biz/biz/awash-ethiopian-restaurant-new-york-3,"97 1st Avenue, New York, NY 10003"
120,Bonnie Vee,"17 Stanton StNew York, NY 10002","[Cocktail, Bars]",$$,4.0 star rating,82 reviews,https://www.yelp.com/biz/biz/bonnie-vee-new-york,"203 Chrystie Street, New York, NY 10002"
121,Rochelles,"205 Chrystie StNew York, NY 10002","[Cocktail, Bars,, American, (New),, Gastropubs]",$$,3.5 star rating,89 reviews,https://www.yelp.com/biz/biz/rochelles-new-york,"203 Chrystie Street, New York, NY 10002"
122,Freemans,"191 Chrystie StNew York, NY 10002","[Breakfast, &, Brunch,, Lounges]",$,4.0 star rating,1626 reviews,https://www.yelp.com/biz/biz/freemans-new-york-3,"203 Chrystie Street, New York, NY 10002"
123,La Gamelle,"241 BoweryNew York, NY 10002",[French],$$,4.0 star rating,71 reviews,https://www.yelp.com/biz/biz/la-gamelle-new-york,"203 Chrystie Street, New York, NY 10002"
124,Cata Restaurant,"245 BoweryNew York, NY 10002","[Tapas, Bars,, Tapas/Small, Plates,, Spanish]",$,4.0 star rating,235 reviews,https://www.yelp.com/biz/biz/cata-restaurant-new-york,"203 Chrystie Street, New York, NY 10002"
125,Prince Street Pizza,"27 Prince StNew York, NY 10012",[Pizza],$$,4.5 star rating,841 reviews,https://www.yelp.com/biz/biz/prince-street-pizza-new-york-2,"203 Chrystie Street, New York, NY 10002"
126,Jadis,"42 Rivington StNew York, NY 10002","[French,, Wine, Bars]",$$,4.0 star rating,425 reviews,https://www.yelp.com/biz/biz/jadis-new-york,"203 Chrystie Street, New York, NY 10002"
127,Spaghetti Incident,"231 Eldridge StNew York, NY 10002","[Italian,, Breakfast, &, Brunch,, Salad]",$,4.5 star rating,224 reviews,https://www.yelp.com/biz/biz/spaghetti-incident-new-york-2,"203 Chrystie Street, New York, NY 10002"
128,T Shop,"247 Elizabeth StNew York, NY 10012","[Coffee, &, Tea,, Tea, Rooms]",$$$,5.0 star rating,31 reviews,https://www.yelp.com/biz/biz/t-shop-new-york,"203 Chrystie Street, New York, NY 10002"
129,Cafe Habana,"17 Prince StNew York, NY 10012","[Cuban,, Mexican]",$$,4.0 star rating,2835 reviews,https://www.yelp.com/biz/biz/cafe-habana-new-york-4,"203 Chrystie Street, New York, NY 10002"
130,Souvlaki GR,"116 Stanton StNew York, NY 10002",[Greek],$,4.0 star rating,653 reviews,https://www.yelp.com/biz/biz/souvlaki-gr-new-york-3,"114 Stanton Street, New York, NY 10002"
131,Taquitoria,"168 Ludlow StNew York, NY 10002","[Mexican,, Tex-Mex,, Vegetarian]",$$,4.0 star rating,131 reviews,https://www.yelp.com/biz/biz/taquitoria-new-york-2,"114 Stanton Street, New York, NY 10002"
132,Sweet Chick,"178 Ludlow StNew York, NY 10002","[American, (Traditional)]",$$,4.0 star rating,741 reviews,https://www.yelp.com/biz/biz/sweet-chick-new-york,"114 Stanton Street, New York, NY 10002"
133,La Margarita Pizza,"151 Ludlow StNew York, NY 10002",[Pizza],$$,4.5 star rating,187 reviews,https://www.yelp.com/biz/biz/la-margarita-pizza-new-york,"114 Stanton Street, New York, NY 10002"
