,Business_name,Street_address,Categories,Cost,Rating,Review Count,Web_address,Rental_address
40,Bread & Joe,"16925 137th AveJamaica, NY 11434","[Coffee, &, Tea,, Bakeries]",$$,5.0 star rating,56 reviews,https://www.yelp.com/biz/bread-and-joe-brooklyn-2,"643 3rd Avenue, Brooklyn, NY 11232"
41,2 Hour Auto Glass,"134-50 Guy R Brewer BlvdJamaica, NY 11434","[Auto, Glass, Services,, Windshield, Installation, &, Repair,, Home, Decor]",$,4.5 star rating,165 reviews,https://www.yelp.com/biz/2-hour-auto-glass-and-tinting-brooklyn,"643 3rd Avenue, Brooklyn, NY 11232"
42,El Tenampa Deli Grocery,"169-85 137th AveJamaica, NY 11434","[Delis,, Grocery]",$,4.5 star rating,53 reviews,https://www.yelp.com/biz/el-tenampa-deli-grocery-brooklyn,"643 3rd Avenue, Brooklyn, NY 11232"
43,Jugglebox,"1363 Farmers BlvdJamaica, NY 11434",[Movers],$,5.0 star rating,146 reviews,https://www.yelp.com/biz/jugglebox-brooklyn,"643 3rd Avenue, Brooklyn, NY 11232"
44,Superior Care Auto Center,"169-65 137th AveJamaica, NY 11434","[Auto, Repair]",$,4.5 star rating,41 reviews,https://www.yelp.com/biz/superior-care-auto-center-brooklyn,"643 3rd Avenue, Brooklyn, NY 11232"
45,Rebecca Shepherd Floral Design,"16941 137th AveJamaica, NY 11434",[Florists],$,5.0 star rating,28 reviews,https://www.yelp.com/biz/rebecca-shepherd-floral-design-brooklyn-2,"643 3rd Avenue, Brooklyn, NY 11232"
46,OG Tax and Accounting Group,"16307 Baisley BlvdJamaica, NY 11434","[Financial, Advising,, Tax, Services,, Accountants]",$$,5.0 star rating,55 reviews,https://www.yelp.com/biz/og-tax-and-accounting-group-brooklyn-4,"643 3rd Avenue, Brooklyn, NY 11232"
47,Al Noor Halal Deli,"169-33 137th StJamaica, NY 11434","[Halal,, Delis]",$$,5.0 star rating,22 reviews,https://www.yelp.com/biz/al-noor-halal-deli-greenwood,"643 3rd Avenue, Brooklyn, NY 11232"
48,South,"550 Court StBrooklyn, NY 11231",[Bars],$,4.5 star rating,144 reviews,https://www.yelp.com/biz/south-brooklyn,"643 3rd Avenue, Brooklyn, NY 11232"
49,Reyes Deli & Grocery,"521 Court StBrooklyn, NY 11231","[Convenience, Stores,, Mexican]",$$,4.5 star rating,176 reviews,https://www.yelp.com/biz/reyes-deli-and-grocery-brooklyn,"643 3rd Avenue, Brooklyn, NY 11232"
50,Kelly’s Coffee Shop,"548 Court StBrooklyn, NY 11231",[Restaurants],$$,2.5 star rating,6 reviews,https://www.yelp.com/biz/kellys-coffee-shop-jamaica,"169 65 137th Avenue, Jamaica, NY 11434"
51,Subway,"338 Hamilton AveBrooklyn, NY 11231","[Sandwiches,, Fast, Food]",$$,3.0 star rating,3 reviews,https://www.yelp.com/biz/subway-jamaica,"169 65 137th Avenue, Jamaica, NY 11434"
52,Nu-Nu Car & Ambulatory Svce,"552 Court StCarroll Gardens, NY 11231",[Taxis],$,5.0 star rating,1 review,https://www.yelp.com/biz/nu-nu-car-and-ambulatory-svce-jamaica,"169 65 137th Avenue, Jamaica, NY 11434"
53,Magic Soul Food,"485 Court StBrooklyn, NY 11231","[Soul, Food]",$$,3.0 star rating,64 reviews,https://www.yelp.com/biz/magic-soul-food-jamaica,"169 65 137th Avenue, Jamaica, NY 11434"
54,Ideal Food Market,"524 Court StBrooklyn, NY 11231",[Grocery],$$,3.5 star rating,5 reviews,https://www.yelp.com/biz/ideal-food-market-jamaica,"169 65 137th Avenue, Jamaica, NY 11434"
55,Springfield Pizzeria,"478 Smith StBrooklyn, NY 11231",[Pizza],$$,3.5 star rating,30 reviews,https://www.yelp.com/biz/springfield-pizzeria-jamaica,"169 65 137th Avenue, Jamaica, NY 11434"
56,Rochdale Village,"476 Smith StBrooklyn, NY 11231","[Community, Service/Non-Profit]",$$,4.0 star rating,1 review,https://www.yelp.com/biz/rochdale-village-jamaica-2,"169 65 137th Avenue, Jamaica, NY 11434"
57,Mister Fish Mkt,"155 Bay StBrooklyn, NY 11232","[Seafood, Markets]",$$,4.0 star rating,1 review,https://www.yelp.com/biz/mister-fish-mkt-jamaica,"169 65 137th Avenue, Jamaica, NY 11434"
58,The Door,"633 Jericho TpkeNew Hyde Park, NY 11040","[Caribbean,, Desserts,, Seafood]",$,4.0 star rating,410 reviews,https://www.yelp.com/biz/the-door-jamaica,"169 65 137th Avenue, Jamaica, NY 11434"
59,Variety Pet Meds,"914 Jericho TpkeNew Hyde Park, NY 11040","[Pet, Stores]",$,3.0 star rating,2 reviews,https://www.yelp.com/biz/variety-pet-meds-jamaica,"169 65 137th Avenue, Jamaica, NY 11434"
60,El Mate,"1200 Jericho TpkeNew Hyde Park, NY 11040","[Brazilian,, Argentine,, Steakhouses]",$,4.5 star rating,147 reviews,https://www.yelp.com/biz/el-mate-brooklyn,"545 Court Street, Brooklyn, NY 11231"
61,The Treats Truck,"1215 Jericho TpkeNew Hyde Park, NY 11040","[Desserts,, Bakeries,, Sandwiches]",$$,4.5 star rating,249 reviews,https://www.yelp.com/biz/the-treats-truck-brooklyn-2,"545 Court Street, Brooklyn, NY 11231"
62,La Slowteria,"1008 Jericho TpkeNew Hyde Park, NY 11040",[Mexican],$$,4.5 star rating,152 reviews,https://www.yelp.com/biz/la-slowteria-brooklyn,"545 Court Street, Brooklyn, NY 11231"
63,Pizza Moto,"1113 Jericho TpkeNew Hyde Park, NY 11040",[Pizza],$,4.5 star rating,129 reviews,https://www.yelp.com/biz/pizza-moto-brooklyn-2,"545 Court Street, Brooklyn, NY 11231"
64,Aperture,"1203 Jericho TpkeNew Hyde Park, NY 11040","[Pizza,, Italian,, Bars]",$$,4.0 star rating,83 reviews,https://www.yelp.com/biz/aperture-carroll-gardens-3,"545 Court Street, Brooklyn, NY 11231"
65,Court Street Grocers,"1201 2nd AveNew Hyde Park, NY 11040","[Grocery,, Cheese, Shops,, Sandwiches]",$,4.5 star rating,202 reviews,https://www.yelp.com/biz/court-street-grocers-brooklyn,"545 Court Street, Brooklyn, NY 11231"
66,Buttermilk Channel,"902 Jericho TpkeNew Hyde Park, NY 11040","[American, (New),, Breakfast, &, Brunch]",$$,4.0 star rating,1475 reviews,https://www.yelp.com/biz/buttermilk-channel-brooklyn,"545 Court Street, Brooklyn, NY 11231"
67,Kimchi Grill,"443 Jericho TpkeNew Hyde Park, NY 11040","[Korean,, Mexican]",$,3.5 star rating,66 reviews,https://www.yelp.com/biz/kimchi-grill-brooklyn-8,"545 Court Street, Brooklyn, NY 11231"
68,Line Bagels,"560 Ralph AveBrooklyn, NY 11233","[Sandwiches,, Bagels,, Breakfast, &, Brunch]",$$,4.0 star rating,42 reviews,https://www.yelp.com/biz/line-bagels-brooklyn,"545 Court Street, Brooklyn, NY 11231"
69,Red Hook Food Vendors,"1107 Rutland RdBrooklyn, NY 11212","[Food, Stands,, Salvadoran]",$,4.0 star rating,197 reviews,https://www.yelp.com/biz/red-hook-food-vendors-brooklyn-2,"545 Court Street, Brooklyn, NY 11231"
70,Umberto’s Pizzeria & Restaurant,"1661 St. Johns PlBrooklyn, NY 11233","[Pizza,, Italian]",$$,4.0 star rating,425 reviews,https://www.yelp.com/biz/umbertos-pizzeria-and-restaurant-new-hyde-park,"1001 1003 Jericho Turnpike, New Hyde Park, NY 11040"
71,Polish-American Market & Deli,"1476 Pitkin AveNew York, NY 11212","[Delis,, Grocery]",$,4.0 star rating,6 reviews,https://www.yelp.com/biz/polish-american-market-and-deli-new-hyde-park,"1001 1003 Jericho Turnpike, New Hyde Park, NY 11040"
72,Sweet Passion Desserts,"1259 E New York AveCrown Heights, NY 11212","[Cafes,, Bakeries,, Patisserie/Cake, Shop]",$$,4.5 star rating,45 reviews,https://www.yelp.com/biz/sweet-passion-desserts-new-hyde-park,"1001 1003 Jericho Turnpike, New Hyde Park, NY 11040"
73,Nova Asian Bistro,"1474 Pitkin AveBrooklyn, NY 11212","[Sushi, Bars,, Lounges,, Asian, Fusion]",$$,4.5 star rating,48 reviews,https://www.yelp.com/biz/nova-asian-bistro-new-hyde-park,"1001 1003 Jericho Turnpike, New Hyde Park, NY 11040"
74,New Jumbo Taste,"1365 E New York AveBrooklyn, NY 11212",[Chinese],$,3.5 star rating,14 reviews,https://www.yelp.com/biz/new-jumbo-taste-new-hyde-park,"1001 1003 Jericho Turnpike, New Hyde Park, NY 11040"
75,Gino’s Pizza,"1933 Fulton StBedford-Stuyvesant, NY 11233","[Pizza,, Italian]",$,3.5 star rating,48 reviews,https://www.yelp.com/biz/ginos-pizza-new-hyde-park,"1001 1003 Jericho Turnpike, New Hyde Park, NY 11040"
76,Wongs Garden,"1686 Pitkin AveBrooklyn, NY 11212",[Chinese],$,4.0 star rating,12 reviews,https://www.yelp.com/biz/wongs-garden-new-hyde-park,"1001 1003 Jericho Turnpike, New Hyde Park, NY 11040"
77,Ryder’s Joe Deli,"1670 Saint Johns PlBrooklyn, NY 11233","[Delis,, Burgers,, Sandwiches]",$,5.0 star rating,8 reviews,https://www.yelp.com/biz/ryders-joe-deli-new-hyde-park,"1001 1003 Jericho Turnpike, New Hyde Park, NY 11040"
78,Park Delicatessen,"1946 37th StAstoria, NY 11105",[Delis],$$,3.0 star rating,17 reviews,https://www.yelp.com/biz/park-delicatessen-new-hyde-park,"1001 1003 Jericho Turnpike, New Hyde Park, NY 11040"
79,Yesterday’s Diner,"1944 37th StQueens, NY 11105",[Diners],$,3.5 star rating,80 reviews,https://www.yelp.com/biz/yesterdays-diner-new-hyde-park,"1001 1003 Jericho Turnpike, New Hyde Park, NY 11040"
80,Gerizim Cafe & Ice Cream,"2102 31st StAstoria, NY 11105","[Ice, Cream, &, Frozen, Yogurt,, Cafes]",$$,5.0 star rating,23 reviews,https://www.yelp.com/biz/gerizim-cafe-and-ice-cream-brooklyn,"546 Howard Avenue, Brooklyn, NY 11233"
81,Tony’s Pizza,"3606 Ditmars BlvdAstoria, NY 11105",[Pizza],$,4.5 star rating,14 reviews,https://www.yelp.com/biz/tonys-pizza-brooklyn,"546 Howard Avenue, Brooklyn, NY 11233"
82,Zhangs Garden,"35-09 Ditmars BlvdAstoria, NY 11105",[Chinese],$$,4.0 star rating,3 reviews,https://www.yelp.com/biz/zhangs-garden-brooklyn,"546 Howard Avenue, Brooklyn, NY 11233"
83,Rosa African Hair Braiding Center,"35-12 Ditmars BlvdAstoria, NY 11105","[Hair, Salons]",$$,4.0 star rating,4 reviews,https://www.yelp.com/biz/rosa-african-hair-braiding-center-new-york,"546 Howard Avenue, Brooklyn, NY 11233"
84,Rutland Tire Shop,"2030 Steinway StAstoria, NY 11105",[Tires],$$,5.0 star rating,5 reviews,https://www.yelp.com/biz/rutland-tire-shop-crown-heights,"546 Howard Avenue, Brooklyn, NY 11233"
85,Villa Castillo Restaurant,"3307 Ditmars BlvdAstoria, NY 11105","[Burgers,, American, (Traditional)]",$$$,3.0 star rating,6 reviews,https://www.yelp.com/biz/villa-castillo-restaurant-brooklyn,"546 Howard Avenue, Brooklyn, NY 11233"
86,Brighteye and Shilling,"21-76 31st StAstoria, NY 11105","[Caribbean,, Caterers]",$$,5.0 star rating,1 review,https://www.yelp.com/biz/brighteye-and-shilling-brooklyn,"546 Howard Avenue, Brooklyn, NY 11233"
87,Bread Love,"45-07 Ditmars BlvdAstoria, NY 11105","[Salad,, Breakfast, &, Brunch,, Bakeries]",$$,4.5 star rating,88 reviews,https://www.yelp.com/biz/bread-love-bedford-stuyvesant,"546 Howard Avenue, Brooklyn, NY 11233"
88,Sal & Paul’s Pizzeria,"135 Graham AveBrooklyn, NY 11206",[Pizza],$$,4.0 star rating,25 reviews,https://www.yelp.com/biz/sal-and-pauls-pizzeria-brooklyn,"546 Howard Avenue, Brooklyn, NY 11233"
89,Josh Auto Repair,"135 Graham AveBrooklyn, NY 11206","[Auto, Repair,, Oil, Change, Stations,, Tires]",$,5.0 star rating,2 reviews,https://www.yelp.com/biz/josh-auto-repair-brooklyn,"546 Howard Avenue, Brooklyn, NY 11233"
90,Astoria Pizza Factory,"161 Montrose AveBrooklyn, NY 11206","[Pizza,, Italian,, Sandwiches]",$,4.5 star rating,76 reviews,https://www.yelp.com/biz/astoria-pizza-factory-astoria,"1950 Steinway Street, Astoria, NY 11105"
91,Dragon Gate Chinese Cuisine,"168 Johnson AveBrooklyn, NY 11206",[Chinese],$$,4.0 star rating,12 reviews,https://www.yelp.com/biz/dragon-gate-chinese-cuisine-queens,"1950 Steinway Street, Astoria, NY 11105"
92,Family Corner Restaurant,"159 Graham AveBrooklyn, NY 11206","[Greek,, American, (Traditional),, Breakfast, &, Brunch]",$$,4.5 star rating,161 reviews,https://www.yelp.com/biz/family-corner-restaurant-astoria,"1950 Steinway Street, Astoria, NY 11105"
93,Aji Sushi House,"163 Montrose AveBrooklyn, NY 11206","[Japanese,, Sushi, Bars,, Asian, Fusion]",$,4.5 star rating,303 reviews,https://www.yelp.com/biz/aji-sushi-house-astoria,"1950 Steinway Street, Astoria, NY 11105"
94,Brooklyn Bagel & Coffee Company,"109 Montrose AveBrooklyn, NY 11206","[Coffee, &, Tea,, Bagels,, Breakfast, &, Brunch]",$$,4.5 star rating,310 reviews,https://www.yelp.com/biz/brooklyn-bagel-and-coffee-company-astoria-2,"1950 Steinway Street, Astoria, NY 11105"
95,The Thirsty Koala,"112 Graham AveBrooklyn, NY 11206","[Australian,, Vegan,, Gluten-Free]",$,4.0 star rating,720 reviews,https://www.yelp.com/biz/the-thirsty-koala-astoria,"1950 Steinway Street, Astoria, NY 11105"
96,Central Bar Lounge,"222 Montrose AveBrooklyn, NY 11206","[Sushi, Bars,, Lounges,, Venues, &, Event, Spaces]",$$,3.0 star rating,91 reviews,https://www.yelp.com/biz/central-bar-lounge-astoria,"1950 Steinway Street, Astoria, NY 11105"
97,Taverna Kyclades,"188 Montrose AveBrooklyn, NY 11206","[Seafood,, Greek,, Mediterranean]",$,4.0 star rating,1607 reviews,https://www.yelp.com/biz/taverna-kyclades-astoria,"1950 Steinway Street, Astoria, NY 11105"
98,Trattoria L’incontro,"247 Varet StBrooklyn, NY 11206",[Italian],$$,4.5 star rating,669 reviews,https://www.yelp.com/biz/trattoria-l-incontro-astoria-2,"1950 Steinway Street, Astoria, NY 11105"
99,Loukoumi Taverna,"25 Bogart StBrooklyn, NY 11206","[Greek,, Mediterranean]",$$,4.5 star rating,226 reviews,https://www.yelp.com/biz/loukoumi-taverna-astoria-2,"1950 Steinway Street, Astoria, NY 11105"
100,Featherweight,"261 Moore StBrooklyn, NY 11206",[Bars],$$$$,4.5 star rating,93 reviews,https://www.yelp.com/biz/featherweight-brooklyn,"183 Johnson Avenue, Brooklyn, NY 11206"
101,Sweet Science,"261 Moore StBrooklyn, NY 11206","[Bars,, Burgers,, American, (New)]",$$,4.0 star rating,293 reviews,https://www.yelp.com/biz/sweet-science-brooklyn,"183 Johnson Avenue, Brooklyn, NY 11206"
102,duckduck,"983 Flushing AveBrooklyn, NY 11206","[Dive, Bars]",$$,4.0 star rating,181 reviews,https://www.yelp.com/biz/duckduck-brooklyn-2,"183 Johnson Avenue, Brooklyn, NY 11206"
103,Human Head Records,"43 Bogart StBrooklyn, NY 11206","[Vinyl, Records]",$$,5.0 star rating,46 reviews,https://www.yelp.com/biz/human-head-records-brooklyn,"183 Johnson Avenue, Brooklyn, NY 11206"
104,Win Son,"43 Bogart StEast Williamsburg, NY 11206","[Taiwanese,, American, (New)]",$$,4.5 star rating,60 reviews,https://www.yelp.com/biz/win-son-brooklyn-4,"183 Johnson Avenue, Brooklyn, NY 11206"
105,Luckybird Bakery,"40 Bogart StBrooklyn, NY 11206","[Bakeries,, Coffee, &, Tea]",$$,4.5 star rating,21 reviews,https://www.yelp.com/biz/luckybird-bakery-brooklyn,"183 Johnson Avenue, Brooklyn, NY 11206"
106,Nam Nam,"970 Flushing AveBrooklyn, NY 11206","[Vietnamese,, Coffee, &, Tea]",$$,4.5 star rating,362 reviews,https://www.yelp.com/biz/nam-nam-brooklyn-2,"183 Johnson Avenue, Brooklyn, NY 11206"
107,Eastwick,"12 Grattan StBrooklyn, NY 11206","[American, (New),, Middle, Eastern,, Breakfast, &, Brunch]",$$,4.0 star rating,190 reviews,https://www.yelp.com/biz/eastwick-brooklyn,"183 Johnson Avenue, Brooklyn, NY 11206"
108,Dun-Well Doughnuts,"109 Eldridge StNew York, NY 10002","[Donuts,, Vegan,, Coffee, &, Tea]",$$,4.0 star rating,656 reviews,https://www.yelp.com/biz/dun-well-doughnuts-brooklyn,"183 Johnson Avenue, Brooklyn, NY 11206"
109,The Brooklyn Tree,"285 Grand StNew York, NY 10002","[American, (Traditional),, Sandwiches,, Coffee, &, Tea]",$,5.0 star rating,25 reviews,https://www.yelp.com/biz/the-brooklyn-tree-brooklyn-2,"183 Johnson Avenue, Brooklyn, NY 11206"
110,Ange Noir Cafe,"118 Eldridge StNew York, NY 10002","[Coffee, &, Tea,, Sandwiches,, Bars]",$,4.0 star rating,73 reviews,https://www.yelp.com/biz/ange-noir-cafe-brooklyn,"232 Varet Street, Brooklyn, NY 11206"
111,Tutu’s,"118A Eldridge StNew York, NY 10002","[Pubs,, American, (Traditional),, Breakfast, &, Brunch]",$$,3.5 star rating,252 reviews,https://www.yelp.com/biz/tutus-brooklyn,"232 Varet Street, Brooklyn, NY 11206"
112,Roberta’s,"79 Orchard StNew York, NY 10002","[Pizza,, Italian]",$,4.0 star rating,1931 reviews,https://www.yelp.com/biz/robertas-brooklyn-2,"232 Varet Street, Brooklyn, NY 11206"
113,Blanca,"277 Grand StNew York, NY 10002","[American, (New)]",$,4.0 star rating,122 reviews,https://www.yelp.com/biz/blanca-brooklyn,"232 Varet Street, Brooklyn, NY 11206"
