,Business_name,Street_address,Categories,Cost,Rating,Review Count,Web_address,Rental_address
48,Il Bambino,"48 W 8th StNew York, NY 10011","[Italian,, Sandwiches,, Wine, Bars]",$,4.5 star rating,72 reviews,https://www.yelp.com/biz/il-bambino-new-york,"16 W 8th Street, New York, NY 10011"
49,Lena,"1 W 8th StManhattan, NY 10011","[Coffee, &, Tea,, Sandwiches]",$,4.5 star rating,62 reviews,https://www.yelp.com/biz/lena-manhattan,"16 W 8th Street, New York, NY 10011"
50,Guadalupana Deli And Victoria Restaurant,"3825 BroadwayNew York, NY 10032","[Delis,, Mexican]",$$,4.0 star rating,20 reviews,https://www.yelp.com/biz/guadalupana-deli-and-victoria-restaurant-new-york,"3821 Broadway, New York, NY 10032"
51,La Fiesta,"3797 BroadwayNew York, NY 10032",[Mexican],$,4.0 star rating,79 reviews,https://www.yelp.com/biz/la-fiesta-new-york,"3821 Broadway, New York, NY 10032"
52,Taszo Espresso Bar,"5 Edward M Morgan PlNew York, NY 10032","[Cafes,, Coffee, &, Tea]",$$,4.0 star rating,184 reviews,https://www.yelp.com/biz/taszo-espresso-bar-new-york,"3821 Broadway, New York, NY 10032"
53,Coral Restaurant,"3801 BroadwayNew York, NY 10032","[Donuts,, American, (New)]",$,3.5 star rating,82 reviews,https://www.yelp.com/biz/coral-restaurant-new-york,"3821 Broadway, New York, NY 10032"
54,Sweet Life Pastry,"3887 BroadwayNew York, NY 10032","[Bakeries,, Cafes,, Mexican]",$,4.5 star rating,68 reviews,https://www.yelp.com/biz/sweet-life-pastry-new-york,"3821 Broadway, New York, NY 10032"
55,Restaurante La Libertad,"3764 BroadwayNew York, NY 10032",[Salvadoran],$,4.0 star rating,98 reviews,https://www.yelp.com/biz/restaurante-la-libertad-new-york,"3821 Broadway, New York, NY 10032"
56,Galaxy Gourmet Deli,"3778 BroadwayNew York, NY 10032",[Delis],$$,4.5 star rating,15 reviews,https://www.yelp.com/biz/galaxy-gourmet-deli-new-york,"3821 Broadway, New York, NY 10032"
57,Ricos Tacos Mexicanos,"Broadway & 159thNew York, NY 10032",[Mexican],$$,5.0 star rating,2 reviews,https://www.yelp.com/biz/ricos-tacos-mexicanos-new-york,"3821 Broadway, New York, NY 10032"
58,Caffebene,"9 Edward M Morgan PlNew York, NY 10032","[Gelato,, Coffee, &, Tea,, Cafes]",$$,3.5 star rating,51 reviews,https://www.yelp.com/biz/caffebene-new-york-6,"3821 Broadway, New York, NY 10032"
59,Las Palmas Restaurant,"3891 BroadwayNew York, NY 10032",[Mexican],$$,4.0 star rating,99 reviews,https://www.yelp.com/biz/las-palmas-restaurant-new-york-2,"3821 Broadway, New York, NY 10032"
60,Legend Upper West,"258 W 109th StNew York, NY 10025",[Chinese],$,3.0 star rating,112 reviews,https://www.yelp.com/biz/legend-upper-west-new-york,"256 W 109th Street, New York, NY 10025"
61,The Manchester Diner,"2800 BroadwayNew York, NY 10025",[Diners],$,3.5 star rating,100 reviews,https://www.yelp.com/biz/the-manchester-diner-new-york,"256 W 109th Street, New York, NY 10025"
62,Cascabel Taqueria,"2799 Broadway 108th StNew York, NY 10025","[Mexican,, Bars]",$$,3.5 star rating,287 reviews,https://www.yelp.com/biz/cascabel-taqueria-new-york-2,"256 W 109th Street, New York, NY 10025"
63,The Hamilton,"998 Amsterdam AvenueNew York, NY 10025","[American, (New),, Cocktail, Bars,, Whiskey, Bars]",$$,4.5 star rating,63 reviews,https://www.yelp.com/biz/the-hamilton-new-york-3,"256 W 109th Street, New York, NY 10025"
64,Koronet Pizza,"2848 BroadwayNew York, NY 10025",[Pizza],$$,3.5 star rating,542 reviews,https://www.yelp.com/biz/koronet-pizza-new-york,"256 W 109th Street, New York, NY 10025"
65,Roti Roll Bombay Frankie,"994 Amsterdam AveNew York, NY 10025",[Indian],$,4.0 star rating,309 reviews,https://www.yelp.com/biz/roti-roll-bombay-frankie-new-york,"256 W 109th Street, New York, NY 10025"
66,Thai Market,"960 Amsterdam AveNew York, NY 10025",[Thai],$$,4.0 star rating,730 reviews,https://www.yelp.com/biz/thai-market-new-york,"256 W 109th Street, New York, NY 10025"
67,Mel’s Burger Bar,"2850 BroadwayNew York, NY 10025",[Burgers],$$,3.5 star rating,559 reviews,https://www.yelp.com/biz/mels-burger-bar-new-york,"256 W 109th Street, New York, NY 10025"
68,Smoke Jazz Club,"2751 BroadwayNew York, NY 10025","[Jazz, &, Blues,, Music, Venues,, Soul, Food]",$$,4.0 star rating,263 reviews,https://www.yelp.com/biz/smoke-jazz-club-new-york,"256 W 109th Street, New York, NY 10025"
69,Taqueria y Fonda La Mexicana,"968 Amsterdam AveNew York, NY 10025",[Mexican],$$$$,3.5 star rating,412 reviews,https://www.yelp.com/biz/taqueria-y-fonda-la-mexicana-new-york-2,"256 W 109th Street, New York, NY 10025"
70,Thursday Kitchen,"424 E 9th StNew York, NY 10009","[Korean,, American, (New),, Tapas/Small, Plates]",$$,4.5 star rating,190 reviews,https://www.yelp.com/biz/thursday-kitchen-new-york,"270 E 10th Street, New York, NY 10009"
71,Quintessence,"263 E 10th StNew York, NY 10009","[Live/Raw, Food,, Vegan,, Kosher]",$$,4.0 star rating,419 reviews,https://www.yelp.com/biz/quintessence-new-york-2,"270 E 10th Street, New York, NY 10009"
72,Brindle Room,"277 E 10th StNew York, NY 10009","[American, (New),, Bars,, Breakfast, &, Brunch]",$$,4.0 star rating,747 reviews,https://www.yelp.com/biz/brindle-room-new-york,"270 E 10th Street, New York, NY 10009"
73,Cagen Japan Restaurant,"414 E 9th StNew York, NY 10009","[Japanese,, Sushi, Bars]",$$,4.5 star rating,109 reviews,https://www.yelp.com/biz/cagen-japan-restaurant-new-york-2,"270 E 10th Street, New York, NY 10009"
74,Zucker Bakery,"433 E 9th StNew York, NY 10009","[Bakeries,, Cafes]",$$$$,4.0 star rating,111 reviews,https://www.yelp.com/biz/zucker-bakery-new-york,"270 E 10th Street, New York, NY 10009"
75,Jennifer’s Way Bakery,"263 E 10th StNew York, NY 10009","[Bakeries,, Gluten-Free]",$$,3.5 star rating,107 reviews,https://www.yelp.com/biz/jennifers-way-bakery-new-york,"270 E 10th Street, New York, NY 10009"
76,Confectionery,"440 E 9th StNew York, NY 10009","[Chocolatiers, &, Shops,, Vegan]",$$,5.0 star rating,17 reviews,https://www.yelp.com/biz/confectionery-new-york,"270 E 10th Street, New York, NY 10009"
77,Nai Tapas Bar,"174 1st AveNew York, NY 10009","[Tapas, Bars]",$$,4.0 star rating,686 reviews,https://www.yelp.com/biz/nai-tapas-bar-new-york,"270 E 10th Street, New York, NY 10009"
78,Kura,"130 St Marks PlNew York, NY 10009","[Japanese,, Sushi, Bars]",$$$,4.5 star rating,278 reviews,https://www.yelp.com/biz/kura-new-york,"270 E 10th Street, New York, NY 10009"
79,Moustache,"265 E 10th StNew York, NY 10009","[Middle, Eastern,, Pizza]",$$$,3.5 star rating,105 reviews,https://www.yelp.com/biz/moustache-new-york-5,"270 E 10th Street, New York, NY 10009"
80,McNulty’s Tea & Coffee Co,"109 Christopher StNew York, NY 10014","[Coffee, &, Tea]",$,4.5 star rating,205 reviews,https://www.yelp.com/biz/mcnultys-tea-and-coffee-co-new-york,"120 Christopher Street, New York, NY 10014"
81,Pho Sure,"120 Christopher StNew York, NY 10014","[Vietnamese,, Asian, Fusion]",$$$,4.0 star rating,168 reviews,https://www.yelp.com/biz/pho-sure-new-york-2,"120 Christopher Street, New York, NY 10014"
82,L’Artusi,"228 W 10th StNew York, NY 10014",[Italian],$$,4.5 star rating,1231 reviews,https://www.yelp.com/biz/l-artusi-new-york,"120 Christopher Street, New York, NY 10014"
83,Employees Only,"510 Hudson StNew York, NY 10014","[American, (New),, Lounges]",$$$,4.0 star rating,1134 reviews,https://www.yelp.com/biz/employees-only-new-york,"120 Christopher Street, New York, NY 10014"
84,Sanpanino,"494 Hudson StNew York, NY 10014",[Sandwiches],$$,4.0 star rating,123 reviews,https://www.yelp.com/biz/sanpanino-new-york,"120 Christopher Street, New York, NY 10014"
85,The Little Owl,"90 Bedford StNew York, NY 10014","[Desserts,, Wine, Bars,, Mediterranean]",$$,4.0 star rating,1113 reviews,https://www.yelp.com/biz/the-little-owl-new-york,"120 Christopher Street, New York, NY 10014"
86,Karahi Indian Cuisine,"118 Christopher StNew York, NY 10014",[Indian],$$,3.5 star rating,119 reviews,https://www.yelp.com/biz/karahi-indian-cuisine-new-york-2,"120 Christopher Street, New York, NY 10014"
87,I Sodi,"105 Christopher StNew York, NY 10014",[Tuscan],$$,4.0 star rating,193 reviews,https://www.yelp.com/biz/i-sodi-new-york,"120 Christopher Street, New York, NY 10014"
88,Buvette,"42 Grove StNew York, NY 10014","[French,, Italian,, Breakfast, &, Brunch]",$$,4.0 star rating,1064 reviews,https://www.yelp.com/biz/buvette-new-york,"120 Christopher Street, New York, NY 10014"
89,2nd City,"525 Hudson StNew York, NY 10014","[Filipino,, Asian, Fusion,, Mexican]",$$,4.5 star rating,223 reviews,https://www.yelp.com/biz/2nd-city-new-york,"120 Christopher Street, New York, NY 10014"
90,Amélie,"22 W 8th StNew York, NY 10011","[French,, Wine, Bars]",$,4.5 star rating,1462 reviews,https://www.yelp.com/biz/am%C3%A9lie-new-york?search_key=15156,"15 W 8th Street, New York, NY 10011"
91,Rasa,"25 W 8th StNew York, NY 10011","[Malaysian,, Sushi, Bars,, Halal]",$$,4.0 star rating,373 reviews,https://www.yelp.com/biz/rasa-new-york?search_key=15156,"15 W 8th Street, New York, NY 10011"
92,La Panineria,"1 W 8th StNew York, NY 10011","[Italian,, Sandwiches]",$$,4.5 star rating,139 reviews,https://www.yelp.com/biz/la-panineria-new-york?search_key=15156,"15 W 8th Street, New York, NY 10011"
93,Cho Cho San,"15 W 8th StNew York, NY 10011","[Japanese,, Sushi, Bars]",$,4.0 star rating,120 reviews,https://www.yelp.com/biz/cho-cho-san-new-york?search_key=15156,"15 W 8th Street, New York, NY 10011"
94,Eva’s Kitchen,"11 W 8th StNew York, NY 10011","[Specialty, Food,, Mediterranean,, Juice, Bars, &, Smoothies]",$$$,4.0 star rating,219 reviews,https://www.yelp.com/biz/evas-kitchen-new-york?search_key=15156,"15 W 8th Street, New York, NY 10011"
95,Il Bambino,"48 W 8th StNew York, NY 10011","[Italian,, Sandwiches,, Wine, Bars]",$$$$,4.5 star rating,72 reviews,https://www.yelp.com/biz/il-bambino-new-york?search_key=15156,"15 W 8th Street, New York, NY 10011"
96,Sticky’s Finger Joint,"31 W 8th StNew York, NY 10011","[American, (New),, Chicken, Wings]",$$,3.5 star rating,456 reviews,https://www.yelp.com/biz/stickys-finger-joint-new-york?search_key=15156,"15 W 8th Street, New York, NY 10011"
97,Lena,"1 W 8th StManhattan, NY 10011","[Coffee, &, Tea,, Sandwiches]",$$$,4.5 star rating,62 reviews,https://www.yelp.com/biz/lena-manhattan?search_key=15156,"15 W 8th Street, New York, NY 10011"
98,Claudette,"24 5th AveNew York, NY 10011",[French],$$,4.0 star rating,212 reviews,https://www.yelp.com/biz/claudette-new-york?search_key=15156,"15 W 8th Street, New York, NY 10011"
99,Babbo,"110 Waverly PlNew York, NY 10011","[Italian,, Bars]",$$,4.0 star rating,2006 reviews,https://www.yelp.com/biz/babbo-new-york?search_key=15156,"15 W 8th Street, New York, NY 10011"
100,Upstate,"95 1st AveNew York, NY 10003",[Seafood],$$,4.5 star rating,1296 reviews,https://www.yelp.com/biz/upstate-new-york-2,"97 1st Avenue, New York, NY 10003"
101,The Eddy,"342 E 6th StNew York, NY 10003","[American, (New)]",$$,4.5 star rating,270 reviews,https://www.yelp.com/biz/the-eddy-new-york,"97 1st Avenue, New York, NY 10003"
102,Raku,"342 E 6th StNew York, NY 10003","[Japanese,, Noodles]",$,4.5 star rating,295 reviews,https://www.yelp.com/biz/raku-new-york-4,"97 1st Avenue, New York, NY 10003"
103,Sigiri,"91 1st AveNew York, NY 10003","[Sri, Lankan]",$$$$,4.0 star rating,431 reviews,https://www.yelp.com/biz/sigiri-new-york,"97 1st Avenue, New York, NY 10003"
104,Apna Masala Indian Cuisine,"344 E 6th StNew York, NY 10003",[Indian],$,4.0 star rating,120 reviews,https://www.yelp.com/biz/apna-masala-indian-cuisine-new-york,"97 1st Avenue, New York, NY 10003"
105,Milon,"93 1st AveNew York, NY 10003","[Indian,, Bangladeshi]",$$,3.5 star rating,405 reviews,https://www.yelp.com/biz/milon-new-york,"97 1st Avenue, New York, NY 10003"
106,Polish G.I. Delicatessen,"109 First AveNew York, NY 10003","[Grocery,, Delis]",$$,4.5 star rating,38 reviews,https://www.yelp.com/biz/polish-g-i-delicatessen-new-york,"97 1st Avenue, New York, NY 10003"
107,Kyo Ya,"94 E 7th StNew York, NY 10009",[Japanese],$$,4.5 star rating,382 reviews,https://www.yelp.com/biz/kyo-ya-new-york,"97 1st Avenue, New York, NY 10003"
108,Dual Specialty Store,"91 1st AveNew York, NY 10003",[Grocery],$$,4.5 star rating,108 reviews,https://www.yelp.com/biz/dual-specialty-store-new-york,"97 1st Avenue, New York, NY 10003"
109,Ugly Kitchen,"103 1st AveNew York, NY 10003","[Bars,, Asian, Fusion,, Filipino]",$$$,4.0 star rating,439 reviews,https://www.yelp.com/biz/ugly-kitchen-new-york,"97 1st Avenue, New York, NY 10003"
110,Rochelles,"205 Chrystie StNew York, NY 10002","[Cocktail, Bars,, American, (New),, Gastropubs]",$,3.5 star rating,89 reviews,https://www.yelp.com/biz/rochelles-new-york,"203 Chrystie Street, New York, NY 10002"
111,Freemans,"Freeman AlyNew York, NY 10002","[Breakfast, &, Brunch,, Lounges,, Desserts]",$$,4.0 star rating,1625 reviews,https://www.yelp.com/biz/freemans-new-york-3,"203 Chrystie Street, New York, NY 10002"
112,La Gamelle,"241 BoweryNew York, NY 10002",[French],$$,4.0 star rating,71 reviews,https://www.yelp.com/biz/la-gamelle-new-york,"203 Chrystie Street, New York, NY 10002"
113,Cata Restaurant,"245 BoweryNew York, NY 10002","[Tapas, Bars,, Tapas/Small, Plates,, Spanish]",$$,4.0 star rating,235 reviews,https://www.yelp.com/biz/cata-restaurant-new-york,"203 Chrystie Street, New York, NY 10002"
114,Prince Street Pizza,"27 Prince StNew York, NY 10012",[Pizza],$$,4.5 star rating,842 reviews,https://www.yelp.com/biz/prince-street-pizza-new-york-2,"203 Chrystie Street, New York, NY 10002"
115,Jadis,"42 Rivington StNew York, NY 10002","[French,, Wine, Bars]",$$$,4.0 star rating,425 reviews,https://www.yelp.com/biz/jadis-new-york,"203 Chrystie Street, New York, NY 10002"
116,Spaghetti Incident,"231 Eldridge StNew York, NY 10002","[Italian,, Breakfast, &, Brunch,, Salad]",$$,4.5 star rating,225 reviews,https://www.yelp.com/biz/spaghetti-incident-new-york-2,"203 Chrystie Street, New York, NY 10002"
117,Cafe Habana,"17 Prince StNew York, NY 10012","[Cuban,, Mexican]",$,4.0 star rating,2833 reviews,https://www.yelp.com/biz/cafe-habana-new-york-4,"203 Chrystie Street, New York, NY 10002"
118,Bar Goto,"245 Eldridge StNew York, NY 10002","[Cocktail, Bars,, Japanese]",$$,4.5 star rating,101 reviews,https://www.yelp.com/biz/bar-goto-new-york,"203 Chrystie Street, New York, NY 10002"
119,Gentleman Farmer,"40 Rivington StNew York, NY 10002","[American, (New),, French]",$,4.0 star rating,206 reviews,https://www.yelp.com/biz/gentleman-farmer-new-york,"203 Chrystie Street, New York, NY 10002"
120,Souvlaki GR,"116 Stanton StNew York, NY 10002",[Greek],$$,4.0 star rating,655 reviews,https://www.yelp.com/biz/souvlaki-gr-new-york-3,"114 Stanton Street, New York, NY 10002"
121,Taquitoria,"168 Ludlow StNew York, NY 10002","[Mexican,, Tex-Mex,, Vegetarian]",$$,4.0 star rating,130 reviews,https://www.yelp.com/biz/taquitoria-new-york-2,"114 Stanton Street, New York, NY 10002"
122,Sweet Chick,"178 Ludlow StNew York, NY 10002","[American, (Traditional)]",$,4.0 star rating,743 reviews,https://www.yelp.com/biz/sweet-chick-new-york,"114 Stanton Street, New York, NY 10002"
123,La Margarita Pizza,"151 Ludlow StNew York, NY 10002",[Pizza],$$$,4.5 star rating,189 reviews,https://www.yelp.com/biz/la-margarita-pizza-new-york,"114 Stanton Street, New York, NY 10002"
124,El Rey Coffee And Luncheonette,"100 StantonNew York, NY 10002","[Coffee, &, Tea,, American, (New)]",$$,4.0 star rating,171 reviews,https://www.yelp.com/biz/el-rey-coffee-and-luncheonette-new-york,"114 Stanton Street, New York, NY 10002"
125,The MasalaWala,"179 Essex StNew York, NY 10002","[Indian,, Pakistani]",$$$,4.5 star rating,858 reviews,https://www.yelp.com/biz/the-masalawala-new-york-2,"114 Stanton Street, New York, NY 10002"
126,Stanton Pizza,"127 Stanton StNew York, NY 10002","[Pizza,, Italian]",$,4.0 star rating,178 reviews,https://www.yelp.com/biz/stanton-pizza-new-york-2,"114 Stanton Street, New York, NY 10002"
127,SakaMai,"157 Ludlow StNew York, NY 10002","[Japanese,, Tapas/Small, Plates,, Cocktail, Bars]",$,4.0 star rating,394 reviews,https://www.yelp.com/biz/sakamai-new-york,"114 Stanton Street, New York, NY 10002"
