,Full_Street_address,SF_avail,Price_per_sf_per_year,Prop_desc,Latitude,Longitude,City,Zipcode
13,"114 Stanton Street, New York, NY 10002",1300,138.46,"('114 Stanton street one of the most incredible spaces in the Lower East Side. Space features 12.5 foot ceiling heights with an astounding 1200sf of prime Ludlow and Stanton Retail. Space features 18ft of all glass frontage on Stanton street. You also have a 1200sf basement and a full backyard.\n\nLEASE TERM: \n5 or 10 year lease\n\nAVAILABILITY: \nimmediate \n\nFREE RENT:\nNegotiable', 'e')",40.7212142,-73.9871974,New York,10002
14,"22 E Merrick Road, Freeport, NY 11520",6400,14.0,"('To Watch a Video of this property please go to youtube and type in the address 22 E Merrick Rd Freeport\n"" \t6,400sf  Building \n"" \t+/-1,500sf Showroom\n"" \t+/-4,900sf  warehouse and fabrication shop\n"" \t+/- 18-19\'   Clear Height \n"" \tGas heat\n"" \tOver 40,000 cars pass daily\n"" \t10x12ft motorized steel roll up door\n"" \tDirectly across from Walgreens and visible to \nQuiznos and Autozone', 'e')",40.6544521,-73.5790587,Freeport,11520
15,"964 Middle Country Road, Saint James, NY 11780",3700,24.0,"(':  Multi level building for lease located at the intersection of Middle Country Road (Route 25) and Route 347 at traffic light in Saint James.  Approximately \xc2\xbd mile from the Smith Haven Mall this retail/office building is in mint condition.  Tremendous demographics with high traffic count of 165,000 cars per day.  New elevator, new HVAC units.  This versatile building and location lends itself perfectly for known professional, medical practitioner or established restaurant group.', '.')",40.8616904,-73.1399421,Saint James,11780
16,"294 Waverly Avenue, Patchogue, NY 11772",1400,17.14,"('Retail/Office building for sale or lease located just South of Sunrise Highway in Patchogue.  \n1st floor consists of a large open area, kitchen and \xc2\xbd bath.  2nd floor is 3 offices, full bath.\nFull basement with outside entrance, walk up attic.  Great storage in both.  Newly renovated windows, roof, fence, gas heat, baths, kitchen and floors.  Great for professional office or any retail use.  Owner will consider holding mortgage.  Building will be delivered vacant.\nBuilding is also for sale', 'e')",40.774748,-73.029038,Patchogue,11772
17,"4760 Sunrise Highway, Bohemia, NY 11716",14050,20.0,"('Prime location at the corner of Sunrise Highway and County Road 29 between Smithtown Ave and Locust Ave.  This location lends itself perfect for retail and medical office use.\nCenter shares tenancy with Dollar Tree, Plate Caterers.  This center offers the lowest rental rate along Sunrise Highway.', '.')",40.7560307,-73.1084019,Bohemia,11716
18,"92 E Suffolk Avenue, Central Islip, NY 11722",1800,16.0,"('Includes bar, boarding house and rental room upstairs. :  Free standing corner building (formerly closed down bar/restaurant) for sale or lease with income from small apartments above.  Strategically positioned directly across the street from the active Central Islip LIRR.  Close proximity to all major parkways.  Perfect for bar, restaurant or any hospitality operator.  Prime redevelopment opportunity!  Please call Douglas Elliman Commercial Services for details and a private appointment.  631-549-7447', '7')",40.79262,-73.19492,Central Islip,11722
19,"1815 E Jericho Turnpike, Huntington, NY 11743",9000,24.0,"('Retail space available on heavily traveled Jericho Turnpike with tremendous demographics, high visibility and traffic counts of 32,000 cars per day.  Located at the intersection of East Deer Park Road and East Jericho Turnpike.  Surrounded by national tenants such as DSW, retro Fitness, Bed Bath &amp; Beyond, Starbucks, Dunkin Donuts, CVS etc.  New facade on building (2012), new roof (2011), septic tanks installed (2011), new landscaping (2010), upgraded electric (2011).  Perfect for furniture store, pharmacy, auto parts or any retail use.', '.')",40.836567,-73.335401,Huntington,11743
20,"1775 E Main Street, Mohegan Lake, NY 10547",8200,28.0,"(""1,125 - 8,300 SF, 18' ceiling heights, Excellent Frontage,\nJoin CVS, Verizon, Ihop, Pizza Hut"", 't')",41.3227422,-73.8528622,Mohegan Lake,10547
21,"3700 Route 112, Coram, NY 11727",6000,25.0,"('Great Retail Opportunity in ALL NEW mixed-use development with 176 FULLY LEASED residential units above stores. New 6000 SF pad site planned. \nBrand new retail &amp; commercial space\nModern &amp; energy efficient\nSpacious floor plans\n10 feet ceiling heights\nControlled building access\nProfessional on-site management\n24 hour maintenance\nAmple parking\nBeautifully landscaped grounds\nLocated below 176 units of residential units\nEasy access to public transportation', 'n')",40.8653667,-73.0003214,Coram,11727
22,"348 S 4th Street, Brooklyn, NY 11211",500,50.4,"('Dual storefronts. Fine arts exhibition space next door.', '.')",40.7084912,-73.9541905,Brooklyn,11211
23,"570 Nostrand Avenue, Brooklyn, NY 11216",4500,69.33,"('Current tenant vacates May 2017. New lease available in advance.', '.')",40.6791135,-73.9499376,Brooklyn,11216
24,"752 Coney Island Avenue, Brooklyn, NY 11218",2200,27.27,"('Rent: $5000 per month, 2200 sf = $27 psf per annum. Key money on request.\nLease term: 10 years. ROFR available. \nEscalations: 3% per annum.\nFull 2 AM liquor license.', '.')",40.639186,-73.9689987,Brooklyn,11218
25,"629 Rogers Avenue, Brooklyn, NY 11225",1000,26.4,"('Two story residential building.', '.')",40.65621,-73.952734,Brooklyn,11225
26,"926 Flatbush Avenue, Brooklyn, NY 11226",5000,35.0,"('3 floor commercial building.\nAvailable for long term 3 net lease.', '.')",40.6489406,-73.9586823,Brooklyn,11226
27,"810 Flushing Avenue, Brooklyn, NY 11206",5000,80.0,"('Luxury residential development.', '.')",40.7009622,-73.9396563,Brooklyn,11206
28,"232 Varet Street, Brooklyn, NY 11206",9200,50.0,"('Industrial infrastructure. Opportunity for arts related business models.\nBar/restaurant/night club.', '.')",40.7039189,-73.9338265,Brooklyn,11206
29,"650 Rogers Avenue, Brooklyn, NY 11226",738,40.65,"('Newly renovated residential building. Landlord will build to suit, and install a new storefront.', '.')",40.655623,-73.953268,Brooklyn,11226
30,"90 Sullivan Place, Brooklyn, NY 11225",1112,37.0,"('Storefront locations situated in new construction residential buildings.', '.')",40.663995,-73.958167,Brooklyn,11225
31,"2632 Adam Clayton Powell Jr Boulevard, New York, NY 10039",350,28.0,"('NO REAL ESTATE TAX PASS THROUGHS.', '.')",40.8258065,-73.9363731,New York,10039
32,"184 Lenox Avenue, New York, NY 10026",510,65.0,"('No Basement. No real estate tax pass throughs.\nDry use preferred.\nFormer salon.', '.')",40.8041305,-73.9480332,New York,10026
33,"99 Norman Avenue, Brooklyn, NY 11222",300,92.0,"('Here is a phenomenal Prime commercial space in legendary Greenpoint to help establish or grow your business. Located on Norman Ave. next to the G Train, this Ground Floor commercial space has the benefit of Great Foot Traffic and offers a convenient, bright and open layout. The space is in a Newly Renovated building with some nice pristine original details preserved It is ready to go and offers tons of great possibilities in terms of setup. Neighbors include: Le Fond, Greenpoint Lodge and Lake Street.', '.')",40.7257587,-73.951299,Brooklyn,11222
34,"102 Broadway, Brooklyn, NY 11249",600,54.0,"('This gorgeous storefront just hit the market for a December 1st move-in. This is your chance to clock down a great retail space on a great block. The landlord is offering a 5 year lease with a 5 year option to qualified applicants. This one will go fast. Contact me immediately to set up an appointment to view.', '.')",40.7101793,-73.9652922,Brooklyn,11249
35,"2025 Central Park Avenue, Yonkers, NY 10710",5200,21.92,"(""RETAIL PROPERTY FOR LEASE OR SALE \nFantastic retail property with OUTSTANDING VISIBILITY &amp; FRONTAGE \n\n2 story retail property consisting of +/- 5,200sf                 (can divide to 2,600sf)  \nOUTSTANDING VISIBILITY &amp; FRONTAGE\n+/- 14 car parking\nStand-alone building!!!! High Traffic / Hi Volume!!!!\nNational Retailers nearby: Bed Bath &amp; Beyond, Pier 1 Imports, Petco, Kohl' s, CVS, P.C. Richard &amp; Son, GameStop, many banks &amp; car dealerships\n+ 50,000 daily auto count\nSurvey available \nTaxes: +/- $19,000"", '0')",40.9680067,-73.8378386,Yonkers,10710
36,"99 Kingsland Avenue, Brooklyn, NY 11222",400,60.0,"(""PRIME Williamsburg/Greenpoint Retail Location, close to McDonald's, Staples, and many boutique shops.  Unit is part of the Metroplex Suites Condominium with 24 residentials units and 2 commercial spaces.  Retail space can be used as a boutique shop or as a professional services office for medical, attorney, real estate, etc."", '.')",40.7198076,-73.9409331,Brooklyn,11222
37,"320 Court Street, Brooklyn, NY 11231",3526,131.58,"(""3 STORY CLASSIC COMMERCIAL AND RESIDENTIAL BUILDING ON PRIME CORNER. RARE 90' COMMERCIAL FRONTAGE. USE OPEN - READY TO GO AS RESTAURANT"", 'T')",40.6832609,-73.9956782,Brooklyn,11231
38,"161 Mamaroneck Avenue, White Plains, NY 10601",7112,28.0,"('Fantastic bar / restaurant completely built out On three floors', 's')",41.0288461,-73.7647175,White Plains,10601
39,"87 Graham Avenue, Brooklyn, NY 11206",2500,41.76,"('Great corner lot retail space/restaurant space. Incredible facade stone features outside, FULLY USABLE BASEMENT (2,500 SQFT).\n\nNO KEY MONEY REQUIRED\n\nFree Months of Rent Offered for Tenant Build Out', 't')",40.7045971,-73.942972,Brooklyn,11206
40,"1224 Wolf Street, Syracuse, NY 13208",1246,11.56,"('Stand alone building, two stories, private off-street parking, multiple entrances.', '.')",43.0833614,-76.1545984,Syracuse,13208
41,"1921 Westchester Avenue, Bronx, NY 10462",3000,56.0,"('The 30 foot frontage and busy location with great for any retail use. The store is 100 feet deep with a 2000 sq.ft. basement.', '.')",40.83359,-73.859868,Bronx,10462
42,"3013 30th Avenue, Astoria, NY 11102",1800,69.86,"('The 24 foot frontage is good enough for the Bust retail area.\nHas a full basement for storage. Glass front and has a vintage look for now. Any legal use will be considered', 'd')",40.767305,-73.921688,Astoria,11102
43,"1533 Myrtle Avenue, Brooklyn, NY 11237",4725,24.63,"('The Property is 45 x 105 = 4,725 sq. ft. Great for any use.\nGreat exposure ! NNN Lease', 'e')",40.6994942,-73.9140196,Brooklyn,11237
44,"8433 Jamaica Avenue, Woodhaven, NY 11421",11500,13.33,"('The 75 foot frontage acts as great exposure for any business Wide open with partial basement', 't')",40.6926761,-73.8598066,Woodhaven,11421
45,"67 30 Central Avenue, Glendale, NY 11385",900,29.33,"('The Corner all Glass frontage serve for great exposure for car traffic. The Property build out is dated the new Tenant may keep the look or make it his own. Lease term is Negotiable', 'e')",40.7034265,-73.8860756,Glendale,11385
46,"149 N 8th Street, Brooklyn, NY 11249",2000,48.0,"('The Second Floor has a separate entrance with some outdoor space. The 14 feet ceiling Height is good for any creative use. A total of 2,000 sq. ft; inside. may get some ground floor retail for the right tenant to discuss 1000 sq. ft.', '.')",40.7187603,-73.9573956,Brooklyn,11249
47,"33 10 36th Avenue, Astoria, NY 11106",2000,33.0,"('The ready to roll fully equipped Restaurant. Has all in place to start your business. Full Kitchen, Handicap Restrooms and a party room upstairs. Key Money for Kitchen expected.', '.')",40.7555027,-73.927918,Astoria,11106
48,"155 Chambers Street, New York, NY 10007",750,216.0,"(""$13,500/month\nSuper High Traffic Retail Store on Super Busy Chambers Street between W Broadway  and Greenwich St\n750 Square Feet\n750 SF Storage Basement\n10 feet of frontage\n15 ft ceilings\nNext to popular chicken restaurant Dirty Bird\nOther neighbors include Subway; McDonald's, Petco, Chambers Street Wines, etc. \nNear Trains and Tribeca Whole Foods\nContact:\nDeborah Stewart\ndeborah@bertwoodrealty.com\n917 647-8138"", '8')",40.716076,-74.0099709,New York,10007
49,"670 Myrtle Avenue, Brooklyn, NY 11205",1890,33.02,"('Corner lot - 2nd FLOOR - Commercial space\n\n\nFree Months of Rent Provided for Tenant Build Out\n\nNO KEY MONEY', 'Y')",40.694199,-73.957146,Brooklyn,11205
50,"70 74th Street, Brooklyn, NY 11209",4000,58.5,"('$19,500/month\nAmazing Corner Opportunity in Prime City Hall - Tribeca - Chinatown\nNear Courts\nRestaurants welcome\nPerfect for grocery store, deli, pizzeria, cafe, wine bar, furniture store, spa, medical office, law office, etc.\nZoned for sidewalk seating\n4000 SF,p&gt;\n2000 SF - Ground Floor\n2000 SF - Legal Selling basement\n- 26 FT frontage on one side\n - 75 FT frontage on another\n - 12 FT ceiling height\nNeighbors include:\n- Todd Merrill design and furniture gallery\n- NYU Lafayette Residence Hall (1,100 students)\n- Gourmet Garage supermarket\n- Cast Iron House, 5 Franklin Pl, 108 Leonard St condominium developments\n- Collect Pond Park and State Courthouses \nContact me for more details\nDeborah Stewart\ndeborah@bertwoodrealty.com\n917 647-8138', '8')",40.633463,-74.03404,Brooklyn,11209
51,"321 Bleecker Street, New York, NY 10014",600,370.0,"('Store fully renovated, turn key opportunity. Bleecker and Grove Street.', '.')",40.733199,-74.0039242,New York,10014
52,"323 Bleecker Street, New York, NY 10014",1420,295.77,"(""All renovated, turn key retail opportunity with major frontage on Bleecker's hottest retail block."", '.')",40.7332858,-74.0039295,New York,10014
53,"4123 Bell Boulevard, Bayside, NY 11361",2500,70.0,"('Prime Retail:  25 ft. frontage with show window, 2500 SF located 100 ft. from LIRR Bayside, Queens Station (Port Washington Line)\nFor further details, please call 516-466-3534.', '.')",40.7629815,-73.7703363,Bayside,11361
54,"2083 Albany Post Road, Montrose, NY 10548",9000,18.86,"('6 Storefronts, with 1 DRIVE THRU Location on end of Strip Mall. Brand New Construction in Green Building. Build To suit. Now Renting! *(Rent includes taxes and maintance)', ')')",41.242997,-73.924322,Montrose,10548
55,"2021 Cropsey Avenue, Brooklyn, NY 11214",4454,16.17,"('The subject property is offered for rent to any business that falls under a community facility. Any medical use, day care, learning center, non for profit and other businesses that would qualify under this zoning. \n\nThe owner would also consider building the facility per tenants request if the desired rent amount and length of the lease met. \n\nThe zoning Residential zoning (R5) without any commercial overlay will not allow any other businesses. The owner tried with several architects and attorneys to get a variance but the city denied it. \n\nThe owner would consider a long lease and also a 50 - 99 years ground lease. \n\nPrice is negotiable!', '!')",40.6000828,-74.0020046,Brooklyn,11214
56,"369 Hooper Street, Brooklyn, NY 11211",2250,60.0,"('2,250 SF of newly renovated ground floor retail space.  Three separate spaces located on the corner of South 2nd Street and Hooper Street.  Located a short two block walk to the Hewes Street J,M Train!  PRIME RETAIL OPPORTUNITY', 'Y')",40.7096052,-73.9525594,Brooklyn,11211
57,"3117 Steinway Street, Astoria, NY 11103",1620,70.37,"(""Prime 1,620 SF retail space available in the heart of Astoria. This property' s location is perfect for a tenant who is looking to maximize revenue and have positive word spread quickly. The building offers tremendous frontage ( approx. 18Feet)through two large displays facing the street, as well as the availability of a large open space above the awning perfect for signage. \nFRONTAGE 18 FEET\nALL USERS CONSIDERED\nGAS, WATER, ELECTRICITY DIRECT METER\nHIGH WALKING TRAFFIC"", 'C')",40.7606963,-73.9172733,Astoria,11103
58,"2843 Steinway Street, Astoria, NY 11103",2000,57.0,"(""Turn key Restaurant bar with huge kitchen long bar \n\nBeautiful buildout\n\nTurn key\n\nBrand new lease\n\n\nApprox2000sf ground floor \nIncludes: \nBar dining area DJ Booth and kitchen\n\nApprox 2000sf basement\nIncludes:\nMen's and ladies restrooms\nStorage walkin refrigerator freezers office space..."", '.')",40.764313,-73.914304,Astoria,11103
59,"3119 Ditmars Boulevard, Astoria, NY 11105",3020,39.74,"('This is triple net lease, entire building for lease. \nGround Floor Retail Space plus full basement, and 3 bedroom apartment in the second Floor.\nRetail Space available for any use.', '.')",40.775803,-73.909771,Astoria,11105
60,"284 Glen Street, Glen Cove, NY 11542",3400,17.29,"('Key Money $120,000.00 \nSeats 99 Person\nOut Door Seating Permit\n12 Burners\n2 Walkin Boxes (Fridge)\n2 Freezers\nSalad Station\nIce Machine\nDeep Fryer\nWine Cellar \n3 Drink Fridge\nEspresson Machine\n\nTurn Key Restaurant', 't')",40.8594905,-73.6212481,Glen Cove,11542
61,"2335 29th Avenue, Astoria, NY 11102",1400,72.86,"('Approximately 1400 sqft\nMaintained great\nStore kept very clean.\nWill not last!', '!')",40.769492,-73.924723,Astoria,11102
62,"3184 33rd Street, Long Island City, NY 11106",3000,24.72,"('A long bar leads to a spacious, and dance floor in the rear.\n*TURNKEY OPERATION\n*MORE THAN TEN YEAR LEASE LEFT\n*ALL NEWLY RENOVATED 1500 SF BAR- LOUNGE PLUS BASEMENT AREA: OFFICE, BOILER ROOM, STORAGE, BATHROOMS AND KITCHEN WITH NEW APPLIANCES\nINCLUDES IN THE SALE POS SYSTEM, PRO SOUND, LIGHTING SYSTEM, GLASSWARE, FURNITURE AND MORE.....\n**OVER 800K IN RENOVATION', 'N')",40.761605,-73.9237689,Long Island City,11106
63,"2805 24th Avenue, Astoria, NY 11102",600,24.0,"('Low rent, Lease term:13 years w 5% esc\nSize of space: 600 \nSize of basement:300 basement(finished)\nList of Fixtures included in the sale\n\nFor additional information or to schedule a property tour, please contact Exclusive Broker New York Space Finders, Inc.', '.')",40.7735,-73.916604,Astoria,11102
64,"40 11 40 17 30th Avenue, Astoria, NY 11103",350,130.29,"('Approximately 350 SF\nBeautiful space is available for any use', 'e')",40.76369,-73.9145304,Astoria,11103
65,"1973 38th Street, Astoria, NY 11105",17785,36.5,"('NYSF is pleased to offer this Premium Retail Space for Lease in this Beautiful New Construction Mix Used Building.\n* 17,785 sf of commercial retail space.\n* 12,000 sf of underground storage.\n* 2,400 sf of medical facilities (which is separate from the commercial space mentioned above).\n All offers will be considered.\n* Street entrances from all streets.\n* Loading Dock from Steinway (side).\n* Freight elevator connecting retail and commercial storage.\n* 3 bathrooms on the ground floor and 1 in the basement\n* The commercial space can be subdivided.\n* Finished basement for dry storage.\nLandlord open to all uses.\n\nFor additional information or to schedule a property tour, please contact Exclusive Broker New York Space Finders, Inc.', '.')",40.7774006,-73.9018247,Astoria,11105
66,"1214 31st Avenue, Astoria, NY 11106",1000,54.0,"('Approx. 1000 SF of ground floor retail\n\nCurrently built as a Restaurant\n\nIdeal for : restaurant, coffe shop, lounge juice bar\n\nFull kitchen no basement\n\nKey Money $149,000.00', '0')",40.768424,-73.9329588,Astoria,11106
67,"2534 31st Street, Astoria, NY 11102",2200,54.55,"('Newly constructed commercial retail in the most up section of Astoria. \nNeighboring Starbucks and located at the foot of the N &amp; Q train, Astoria .\nEXCELLENT BUSINESS LOCATION!!!\n\nDOUBLE STORE FRONT ON 31 st STREET\n\nSUITABLE FOR ANY BUSINESS\nIdeal for department store, cafe, coffee shop, juice bar, bakery, pharmacy, deli, liquor store, sandwich shop, grocery, retail, office, gallery, boutique, etc.\nLandlord open to all uses.\n\nFor additional information or to schedule a property tour, please contact Exclusive Broker New York Space Finders, Inc.', '.')",40.769793,-73.918778,Astoria,11102
68,"1980 Steinway, Astoria, NY 11105",10000,40.0,"('Premium Retail Space for Lease in this Beautiful New Construction Mix Used Building.\n* 10,000 sf of commercial retail space.\n* 12,000 sf of underground storage.\nAll offers will be considered.\n* Loading Dock from Steinway (side).\n* Freight elevator connecting retail and commercial storage.\n* Finished basement for dry storage.\nSchedule your appointment with us.', '.')",40.7769997,-73.9015516,Astoria,11105
69,"1950 Steinway Street, Astoria, NY 11105",2000,40.0,"('Two Premium Retail Space for Lease in this Beautiful New Construction Mix Used Building:\n*2,000 sf of commercial retail space.\n* 1,850 sf of commercial retail space\nAll offers will be considered.\n\nSchedule your appointment with us.', '.')",40.7774694,-73.9008468,Astoria,11105
70,"384 S 2nd Street, Brooklyn, NY 11211",500,79.2,"(""500 sq. ft. of ground floor retail.\n20' ft. frontage.\nAll uses considered. \nBasement included.\nOwner will work with qualified tenants."", '.')",40.7095075,-73.9522369,Brooklyn,11211
71,"962 Myrtle Avenue, Brooklyn, NY 11206",1200,58.5,"('800 SF storefront, with an additional 400 SF room available behind the space for a total of 1200 usable SF. \nOwnership can expand and white box the space, offering the full 1200 SF for $6,000/month.', '.')",40.695906,-73.9430094,Brooklyn,11206
72,"183 Johnson Avenue, Brooklyn, NY 11206",540,55.56,"('540sq ft Ground Floor Retail space in East Williamsburg.  \n\nPrime opportunity for hospitality or restaurant industry. \n\nNearby tenants include: sweet science, Tradesman, Dun Well Doughnuts, Champs Diner, and many more!', '!')",40.7067256,-73.9426613,Brooklyn,11206
73,"300 Graham Avenue, Brooklyn, NY 11211",6500,50.0,"(""Beautiful ground floor retail space located on the corner of Graham Avenue and Powers Street.  The property boasts 12.5' ceilings and an incredible 81' of frontage on Graham Avenue.  Short .1 mile walk from the L Train at Graham Ave.  Unique retail opportunity suitable for all uses!\n\nNotable Neighboring Tenants Include:\nChase Bank, Masha &amp; The Bear, Dunkin' Donuts, Los Primos, Tuffet and many many more."", '.')",40.7126919,-73.9438412,Brooklyn,11211
74,"1070 Us Highway 9, Wappingers Falls, NY 12590",4057,12.0,"('For Lease\nProfessional Office Suites\nWarehouse / Industrial Space\n\nNear Interstate 84 &amp; Newburgh-Beacon Bridge! \n\nAvailable Square Footage-Office Suites \n1st Floor:\n740 \xc2\xb1 SF\n2,545 \xc2\xb1 SF\n2nd Floor:\n480 \xc2\xb1 SF - 1,476 \xc2\xb1 SF\nSquare Footage Subject to Further Confirmation', 'n')",41.5340455,-73.9570352,Wappingers Falls,12590
75,"1605 Main Street, Port Jefferson, NY 11777",5000,10.0,"('Large Double Storefront Retail Space with Great Frontage on Main Street In Port Jefferson.  Just a block from the LIRR Train Station.', '.')",40.935133,-73.054774,Port Jefferson,11777
76,"150 Wheeler Road, Central Islip, NY 11722",6500,23.0,"('Supermarket anchored.High Volume.Centrally located with easy access to LIE.Ideal for Medical Use.Newly Renovated!', '!')",40.8010807,-73.2128423,Central Islip,11722
77,"10 Old Riverhead Road, Westhampton Beach, NY 11978",7000,32.0,,40.8225696,-72.6468679,Westhampton Beach,11978
78,"27 Street Marks Place, New York, NY 10003",1545,186.37,,40.7291682,-73.9883517,New York,10003
79,"193 225 Commack Road, Commack, NY 11725",2600,20.0,,40.8379338,-73.2945945,Commack,11725
80,"500 Route 303, Orangeburg, NY 10962",4313,22.0,"(""LOCATION: 500 Route 303, Orangeburg, New York. BOUNDARIES: Route 303 and the Palisades Interstate Parkway.NEIGHBORHOOD: Single-family homes, assisted living, colleges, office and Industrial buildings. ACREAGE: 2.3 acres.G.L.A.25,000 square feet.LAYOUT: One-story shopping center consisting of 12 tenant spaces ranging in size from approximately 900 square feet to over 4,300 square feet.PARKING: 103 parking spaces.LIST OF MAJOR TENANTS: Marty's BagelsTiffany CleanersA&amp;A Deli"", 'i')",41.0512805,-73.9463607,Orangeburg,10962
81,"46 60 Gramatan Avenue, Mount Vernon, NY 10550",3200,30.0,"(""The property is located in the heart of downtown Mount Vernon near City Hall and Metro-North train station. A large municipal lot across the street for parking. Area retailers include Dunkin Donuts, McDonald's, Bank of New York, Cingular, Dominos, Allstate, HSBC and more. Area Demographics: 1 Mile 3 Mile 5 MilePopulation 69,712 382,143 1,000,420Avg. HH Income $48,629 $63,978 $ 60,054ore."", '.')",40.9130842,-73.8372909,Mount Vernon,10550
82,"55 Delancey Street, New York, NY 10002",800,133.5,"(""ASKING RENT REDUCED! This is a great retail space that is currently built as a gallery.  Completely open, white boxed and high ceilings of almost 13'  and great frontage of about 17'  on Delancey.  There is a storage basement provided with the ground flor and possession is available April 2016).  Great Delancey Street location offering excellent exposure on the main two way street.  All uses considered. SHOWN BY APPOINTMENT ONLY."", '.')",40.7191663,-73.9912015,New York,10002
