,age,type_employer,education,education_num,marital,occupation,relationship,race,sex,capital_gain,capital_loss,hr_per_week,country,income
11633,57,Private,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,26,United-States,0
13037,40,Private,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,0,0,45,United-States,0
9396,31,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,0
20925,30,Private,Prof-school,15,Widowed,Other-service,Not-in-family,White,Male,0,0,35,United-States,0
4195,18,Private,12th,8,Never-married,Craft-repair,Own-child,White,Male,0,0,10,United-States,0
25756,17,?,11th,7,Never-married,?,Own-child,White,Male,0,0,10,United-States,0
28066,26,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,0
25084,38,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,0
8638,25,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,30,United-States,0
19322,23,Private,HS-grad,9,Never-married,Sales,Unmarried,White,Female,0,0,48,United-States,0
17387,21,Private,Some-college,10,Never-married,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,0,0,4,United-States,0
30478,44,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,1
4941,38,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,48,United-States,1
11875,33,Private,1st-4th,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,Mexico,0
6326,48,Private,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1
9444,38,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
20801,62,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,1
4030,44,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,5013,0,60,Greece,0
18666,36,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,3103,0,42,United-States,1
31337,39,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,60,?,0
4252,43,Private,HS-grad,9,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,0
5034,42,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,1
19199,40,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
24186,47,Private,Bachelors,13,Widowed,Craft-repair,Unmarried,Black,Female,6497,0,40,United-States,0
31477,45,Private,12th,8,Never-married,Other-service,Own-child,White,Male,0,0,10,Mexico,0
2510,31,Private,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,0,50,United-States,1
13778,61,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,20,United-States,1
21325,20,State-gov,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,15,United-States,0
17547,49,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
23900,47,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,38,United-States,0
4621,40,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
719,22,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,15,United-States,0
1413,39,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
2587,26,?,11th,7,Never-married,?,Not-in-family,White,Female,0,0,35,Germany,0
26191,45,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1485,50,United-States,1
13265,38,Private,Some-college,10,Divorced,Sales,Not-in-family,White,Male,0,0,60,United-States,0
4704,33,Private,9th,5,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,70,United-States,0
21865,28,Private,Assoc-voc,11,Never-married,Tech-support,Own-child,White,Female,2174,0,36,United-States,0
7708,70,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,37,United-States,0
14696,51,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,1
15204,27,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0
19163,44,Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,0
5100,46,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,1
15283,36,Private,11th,7,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,0
18128,36,Private,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,0
28389,35,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,0
20406,26,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,0
8653,44,Private,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,0,0,32,United-States,0
1646,71,Self-emp-inc,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,20,United-States,1
6570,61,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,1
20123,46,Private,7th-8th,4,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,0
31314,38,?,7th-8th,4,Divorced,?,Unmarried,Black,Female,0,0,30,United-States,0
21513,32,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,1
3876,30,Private,7th-8th,4,Separated,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
13155,46,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,0
22782,53,Private,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,35,United-States,0
11665,29,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,35,United-States,0
32408,33,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,45,United-States,0
17669,44,Local-gov,12th,8,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
2057,37,State-gov,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,8614,0,40,United-States,1
24226,29,Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Male,0,0,45,Mexico,0
23727,55,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
32113,32,Self-emp-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,Canada,0
32432,51,Private,7th-8th,4,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,48,United-States,0
11555,30,State-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,72,United-States,1
4083,52,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
27205,45,Private,HS-grad,9,Separated,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,0
32332,50,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,0,0,45,United-States,0
23516,76,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Male,0,0,6,United-States,0
11093,40,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
14119,57,?,Some-college,10,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0,0,60,United-States,1
22511,20,?,HS-grad,9,Never-married,?,Other-relative,White,Male,0,0,40,El-Salvador,0
28611,38,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,60,United-States,1
5081,30,Private,Some-college,10,Separated,Sales,Unmarried,Black,Female,0,0,16,United-States,0
3639,22,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
30783,28,Federal-gov,10th,6,Married-civ-spouse,Other-service,Wife,Amer-Indian-Eskimo,Female,0,0,40,United-States,0
27486,28,Private,11th,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
3360,35,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,1
1008,39,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
9152,20,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Black,Female,0,1721,30,United-States,0
25646,25,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,Guatemala,0
23334,17,?,11th,7,Never-married,?,Own-child,Black,Female,0,0,40,United-States,0
18080,22,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
7271,49,Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,60,United-States,0
26746,57,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,5013,0,50,United-States,0
32275,34,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,0
1885,27,Local-gov,Some-college,10,Never-married,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,0
