,Job Title,Location,Company,Salary,No. of Reviews,Company Ratings,Job Summary
12,Research Analyst,"Norfolk, VA","City of Norfolk, VA","<nobr>$33,770 - $55,060 a year</nobr>",None,None,"Gathers and analyzes data, develops spreadsheets for cost/benefit analyses; Meets with staff of various departments to gather data and explain research results;..."
13,Sr. Socio-behavioral Scientist,"Norfolk, VA",Eastern Virginia Medical School,"<nobr>$94,963 a year</nobr>",35 reviews,42.0,"Duties include managing and supporting proposal writing, study design, facilitating ethical review, supporting data collection, data analysis, and results..."
14,Financial Data Analyst,"Virginia Beach, VA 23462 (Northwest area)",Vaco,None,77 reviews,43.2,"As a Data Scientist, you will perform advanced analytics on large volumes and wide varieties of data. Collecting operational data...."
15,Research Scientist,"Norfolk, VA",Old Dominion University Research Foundation,None,2 reviews,60.0,Deliver high-quality data to meet and exceed the project requirements; A research scientist position is immediately available to study differentiation of neural...
16,I&O Analyst - Technical Support,"Norfolk, VA 23510",ADP,None,"1,660 reviews",44.4,"At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and..."
17,I&O Analyst -- Reporting & Metrics Analysis,"Norfolk, VA 23510",ADP,None,"1,660 reviews",44.4,"At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and..."
18,Applications/Product Development Engineer/Scientist (Medical...,"Norfolk, VA","Lohmann Speciality Coatings, LLC (Orange, VA)",None,None,None,"Ability to conduct routine lab tests, analyze and interpret data, design and develop lab-scale prototypes and provide excellent documentation...."
19,Operation Research Analyst,"Suffolk, VA","SimIS, Inc",None,None,None,"Knowledge of test planning, data collection, data analysis, and reporting procedures. Familiar with data management, database theory, and risk assessment..."
20,Senior Analyst / Engineer,"Suffolk, VA 23435",Scientific Research Corporation,None,53 reviews,43.8,Apply knowledge of tactical data links in support of execution DACAS. At the core of our capabilities is a seasoned team of highly skilled engineers and...
21,Senior Scientist - Microbiologist,"Virginia Beach, VA 23453",LifeNet Health,None,25 reviews,44.4,Senior Scientist - Microbiologist. We are currently seeking a Full-Time Senior Scientist - Microbiologist to join the LifeNet Health team in our Virginia Beach...
22,Sr. Director,"Norfolk, VA 23510",ADP,None,"1,660 reviews",44.4,"At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and..."
23,Project Controls Manager,"Norfolk, VA",HDR,None,122 reviews,51.0,Vertical construction experience is a plus as is data center or mission critical experience. We create an unshakable foundation for progress because our...
24,Basic Level Instructor/Pilot,"Langley AFB, VA",BOEING,None,"2,929 reviews",51.6,Skilled scientists and thinkers. Uses objective simulator data and instructor/SME expertise to develop post training assessment of training objectives and pilot...
25,Water/Wastewater Designer / EIT,"Virginia Beach, VA 23462 (Northwest area)",HDR,None,122 reviews,51.0,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists...."
26,IT Server Support Specialist I,"Norfolk, VA 23510",ADP,None,"1,660 reviews",44.4,"At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and..."
27,I&O Analyst - IT Storage Support,"Norfolk, VA 23510",ADP,None,"1,660 reviews",44.4,"At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and..."
28,Product Support Spec III,"Norfolk, VA 23510",ADP,None,"1,660 reviews",44.4,"At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and..."
29,Technical & Application Management Specialist I,"Norfolk, VA 23510",ADP,None,"1,660 reviews",44.4,"At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and..."
30,Tech. & Apps Mgmt Spec IV,"Norfolk, VA 23510",ADP,None,"1,660 reviews",44.4,Eer Analyst Architect Data Scientist Application Developer Design Implementation Chief Principal Enterprise Specialist Infrastructure Research Development R&amp;D...
31,Network Inrastructure Support Specialist,"Norfolk, VA 23510",ADP,None,"1,660 reviews",44.4,Engineer Analyst Architect Data Scientist Application Developer Design Implementation Chief Principal Enterprise Spe....
32,"Executive Director of the Virginia Modeling, Analysis, and S...","Norfolk, VA",Old Dominion University,None,148 reviews,53.4,Familiarity with simulation-based data science is required. ODU’s goal is to build on its longstanding M&amp;S strengths to create a broad Data Sciences...
33,I&O Analyst - Global Product & Technology Support Analyst (M...,"Norfolk, VA 23510",ADP,None,"1,660 reviews",44.4,"At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and..."
34,Technical & Application Management Specialist I - Global Pro...,"Norfolk, VA 23510",ADP,None,"1,660 reviews",44.4,"At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and..."
35,Data & Science Software Engineer Student Internship,"Madison, WI",American Family Insurance,None,512 reviews,43.2,"Experience with web crawling, GIS data, unstructured text data, or image data. Be paired with a software engineer, data scientist, or architect as a mentor...."
36,Strategic Data & Analytics Student Internship,"Madison, WI",American Family Insurance,None,512 reviews,43.2,"Experience with web crawling, GIS data, unstructured text data, or image data. The data lake contains all internal American family insurance data and external..."
37,ASSOCIATE SCIENTIST,"Madison, WI",University of Wisconsin-Madison,"<nobr>$40,861 a year</nobr>",49 reviews,53.4,Scientist - Radiological Engineering and Design Laboratory. The scientist will be working with Professor Bryan Bednarz on cutting-edge research projects related...
38,Sr QA Scientist 1,"Madison, WI 53704 (Carpenter-Ridgeway area)",Promega Corporation,None,7 reviews,43.2,"This includes approval of study design, data review, and Process Change approval. Through their specified review, approval, and planning roles, QA Senior..."
39,Research Scientist,"Madison, WI","S C International, Ltd.",None,None,None,Ideal target is for a Machine Learning data scientist. Large insurance company has immediate needs for Statistical talent....
40,Research Scientist,"Madison, WI 53719",AmebaGone Inc.,None,None,None,"Strong computing skills and proficiency with word processing, spreadsheets, data analysis, and presentation software are desired...."
41,Data Scientist,"Madison, WI",Analytic Recruiting,"<nobr>$100,000 - $171,000 a year</nobr>",2 reviews,51.0,"Insurance Company in Wisconsin seeks a full time Data Scientist. Insurance, Analytics, Modeling, Machine Learning, R, Python, Hadoop, NLP, Data Scientist...."
42,Data Analysis Intern,"Sun Prairie, WI",QBE Europe,None,None,None,Assures data accuracy by creating and maintaining a data integrity process by employing a muti-disciplinary team approach....
43,Senior Big Data Developer - Hadoop,"Madison, WI",American Family Insurance,None,512 reviews,43.2,"Extensive experience with statistics is not required, however this individual will work closely with data scientists and statisticians providing IT support for..."
44,Associate Scientist,"Madison, WI",Merck KGaA,None,5 reviews,53.4,Review analytical data. Help to train Assistant Analytical Scientist 1. The Analytical Assistant Scientist 2 is also responsible for assisting with method...
45,Research Scientist - Development and Validation,"Middleton, WI",PPD,None,225 reviews,41.4,"Routinely acts as the technical project leader for multiple projects, provide updates, reviews and evaluates data, writes reports and protocols...."
46,SENIOR SCIENTIST,"Madison, WI",University of Wisconsin-Madison,"<nobr>$40,861 a year</nobr>",49 reviews,53.4,"Oversee data collection, data entry, data quality, and design of databases to meet research needs. As time allows, work with WRAP faculty and scientists to..."
47,Production Scientist 3,"Madison, WI 53704 (Carpenter-Ridgeway area)",Promega Corporation,None,7 reviews,43.2,Follow existing procedures and policies for data recording and record keeping. Experience with use of computers for collection and analysis of experimental data...
48,BUSINESS RESEARCH ANALYST,"Madison, WI",University of Wisconsin System,None,7 reviews,42.6,"Job Description Job Title: BUSINESS RESEARCH ANALYST Job ID: 12366 Location: UW Extension;Madison, WI Full/Part Time: Full-Time Regular/Temporary:"
49,RESEARCHER,"Madison, WI",University of Wisconsin-Madison,"<nobr>$48,000 a year</nobr>",49 reviews,53.4,Effective communication of statistical concepts to other scientists and nonscientists. Process large amounts of data for statistical modeling and graphic...
50,"Sr. Scientist, Upstream Process Development","Madison, WI",Catalent Pharma Solutions,None,122 reviews,39.6,"Accurately reviews batch records and other data, ensuring consistency. Critically analyzes complex data, interprets and integrates experimental results with..."
51,Data Analysis Intern,"Sun Prairie, WI 53596",QBE,None,75 reviews,43.2,Assures data accuracy by creating and maintaining a data integrity process by employing a muti-disciplinary team approach.Specific Responsibilities:....
52,Senior Statistical Analyst,"Madison, WI",Relevante,None,12 reviews,43.8,"Applies advanced knowledge of statistics and data mining (e.g., predictive modeling, simulation) or other mathematical techniques to recognize patterns and..."
53,ASSISTANT PROFESSOR,"Madison, WI",University of Wisconsin-Madison,None,49 reviews,53.4,Assistant Professor -- Cropping Systems Weed Scientist. UW-Madison is required by law to request data from applicants for employment in order to monitor its...
54,Postdoctoral Research Associate,"Madison, WI",Howard Hughes Medical Institute,None,49 reviews,53.4,"Analysis of electrophysiology and image data. We empower exceptional scientists and students to pursue fundamental questions about living systems, and work to..."
55,Production Scientist 1 - Cell Culture,"Madison, WI 53704 (Carpenter-Ridgeway area)",Promega Corporation,None,7 reviews,43.2,"Follow existing Promega Corporation Quality System policies for data recording and record keeping. Provide data or information to others in work area, and..."
56,Statistical Research Scientist,"Madison, WI",Relevante,None,12 reviews,43.8,"Demonstrated experience extracting, cleansing, combining and manipulating large, and diverse data sources for analysis...."
57,Scientist,"Middleton, WI",PPD,None,225 reviews,41.4,Enters data into databases and reports. Proven ability to interpret data by performing trend analysis. Performs self review for own data prior to QC submission....
58,Sr. Production Associate Scientist,"Madison, WI",EMD,None,30 reviews,51.6,Adequately document experimental data in currently approve paper and / or electronic documentation formats....
59,Scientist (Protein Purification),"Madison, WI",Lucigen Corporation,None,None,None,Identifies process improvement opportunities based on first-hand observation and data review. Lucigen seeks an adaptable and action-oriented scientist to join...
60,STATISTICAL RESEARCH SCIENTIST,"Madison, WI 53713",Spherion,None,"1,794 reviews",43.8,"Demonstrated experience extracting, cleansing, combining and manipulating large, and diverse data sources for analysis...."
61,"Statistician, Test Design","Madison, WI",Analytic Recruiting,"<nobr>$90,000 - $127,000 a year</nobr>",2 reviews,51.0,Backgorund: Organization in Wisconsin seeks a Statistician to cultivate a test and learn environment.Utilizing best in class experimental test design
62,Research Analyst - Advanced,"Madison, WI",WI Department of Corrections,None,2 reviews,51.0,"Data extraction, preparation and analysis; Uses statistical software packages for data manipulation; Knowledge of conducting research and using advanced..."
63,DATA ENGINEER,"Madison, WI 53713",Spherion,None,"1,794 reviews",43.8,"More specifically, you would work closely with Data Scientists and other technical experts on data engineering initiatives to:...."
64,Sr. Data Scientist,"Madison, WI",Smith Hanley Associates,"<nobr>$100,000 - $170,000 a year</nobr>",12 reviews,51.6,"Data Scientist to create state of the art business solutions using advanced statistical analysis, machine learning and data mining from complex and extremely..."
65,Sr. Associate Chemist,"Madison, WI",Merck KGaA,None,5 reviews,53.4,Perform preliminary review of analytical data for accuracy and quality. Work on problems of diverse scope in which analysis of data requires evaluation of...
66,Associate Scientist,"Madison, WI",Lucigen Corporation,None,None,None,Lucigen seeks enthusiastic and detail-oriented associate scientists to join its operations team. Perform quality testing and calculations according to...
67,Statistical Research Scientist,"Madison, WI",American Family Insurance,None,512 reviews,43.2,"R433 Statistical Research Scientist (Open). Explores data using a variety of advanced statistical (e.g., data mining) techniques to answer business questions or..."
68,Program Analyst II,"Middleton, WI","Akima, LLC",None,13 reviews,40.8,"Additionally, OWI develops data science analytics, processing, and tooling. The Office of Water Information (OWI), Center for Integrated Data Analytics (CIDA)..."
69,ASSISTANT SCIENTIST,"Madison, WI",University of Wisconsin-Madison,"<nobr>$40,861 a year</nobr>",49 reviews,53.4,"The successful applicant will also be responsible for analysis of large data sets, such as MHC genotyping results and whole genome/whole exome sequencing..."
70,Scientist - HPLC,"Middleton, WI",PPD,None,225 reviews,41.4,Enters data into databases and reports. Proven ability to interpret data by performing trend analysis. Performs self review for own data prior to QC submission....
71,Predictive Modeler and Data Analyst - Maryland or Virginia,"Madison, WI",Quality Health Strategies,None,None,None,"Reports are drafted by teams with leadership of Data Scientists. Collects and researches data; Data analysis and modeling, including data preparation and..."
72,Associate Scientist ( 1 Year of Experience ),"Middleton, WI",PPD,None,225 reviews,41.4,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications...."
73,Sr. Production Associate Scientist,"Madison, WI",Merck KGaA,None,5 reviews,53.4,Adequately document experimental data in currently approve paper and / or electronic documentation formats....
74,PROFESSOR,"Madison, WI",University of Wisconsin-Madison,None,49 reviews,53.4,UW-Madison is required by law to request data from applicants in order to monitor its recruitment and selection practices....
75,Quality Associate Scientist,"Madison, WI",Merck KGaA,None,5 reviews,53.4,"Work on problems of moderate scope in which analysis of data requires a review of identifiable factors. The Scientist, Quality Associate position is responsible..."
76,Research Scientist: Bioinformatics & Microbial Genomics,"Madison, WI",DuPont,None,438 reviews,51.0,Experience with large-scale data management or data visualization would be a plus. Data for applied microbial genomics....
77,Quality Scientist,"Madison, WI",Merck KGaA,None,5 reviews,53.4,"Perform review of analytical data for accuracy and quality. Able to interpret analytical data (including FT-IR, 1H NMR, MS)...."
78,Production Scientist,"Madison, WI",Integrated Resources,None,None,None,"# With directional oversight, perform bench work as directed by a senior scientist. # Adequately document experimental data in currently approve paper and / or..."
79,PROFESSOR (CHS),"Madison, WI",University of Wisconsin-Madison,None,49 reviews,53.4,Surgeons and scientists in the Division of Transplantation have made innovative discoveries that are used throughout the world....
80,"Associate Scientist, Production","Madison, WI",Planet Pharma,None,None,None,"Makes detailed observations, contributes to protocol development and production planning, and analyzes data. 6 MONTH CONTRACT*...."
81,"Associate Scientist, Analytical Development","Madison, WI",Catalent Pharma Solutions,None,122 reviews,39.6,"Ability to review data to ensure data is well organized with complete. Ability to independently interpret data, analyze trends and provide...."
82,Statistical Senior Analyst,"Madison, WI",QTI Group,None,17 reviews,40.2,The QTI Group has an outstanding direct hire opportunity for an experienced Statistical Senior Analyst who will join a cross line insurance organization. This
83,Associate Research Scientist - Biopharmaceutical Services -...,"Middleton, WI",PPD,None,225 reviews,41.4,"Associate Research Scientist. Instrumentation (HPLC, UPLC, CE etc.), calculates and interprets data,. Summarize data and results, write method and protocol in..."
84,STATISTICAL SENIOR ANALYST,"Madison, WI 53713",Spherion,None,"1,794 reviews",43.8,"Explores data using a variety of statistical (e.g., data mining, regression, cluster analysis) techniques to answer business questions or guide future model..."
85,"Sr. Scientist, Downstream Process Development","Madison, WI",Catalent Pharma Solutions,None,122 reviews,39.6,"Accurately reviews batch records and other data, ensuring consistency. Critically analyzes complex data, interprets and integrates experimental results with..."
86,Senior Scientist,"Madison, WI",Merck KGaA,None,5 reviews,53.4,"Mentor Scientist, Associate Scientist, and Assistant Scientist level chemists via a matrix and / direct reporting relationship...."
87,GIS Specialist I,"Middleton, WI","Akima, LLC",None,13 reviews,40.8,"Data analysis, data schema creation, model development, spatial data organization, spatial data editing, map development and map interpretation...."
88,(Sr.) Statistical Analyst,"Madison, WI",Smith Hanley Associates,"<nobr>$80,000 - $125,000 a year</nobr>",12 reviews,51.6,"-Assist in data management, internal client needs, hypothesis testing, and project management. Smith Hanley Associates takes pride in being the premier..."
89,Data Engineer [Business-Side],"Madison, WI 53701 (Capitol area)",Wisdom InfoTech,None,2 reviews,51.0,"More specifically, you would work closely with Data Scientists and other technical experts on data engineering initiatives to:...."
90,Scientist - Cell Based Bioassay - GMP Laboratory,"Middleton, WI",PPD,None,225 reviews,41.4,Enters data into databases and reports. Proven ability to interpret data by performing trend analysis. Performs self review for own data prior to QC submission....
91,Quality Control Intern,"Madison, WI","Illumina, Inc.",None,52 reviews,41.4,"The candidates will work with scientists to develop concepts, perform experimentation, and perform high quality data analysis of the results obtained...."
92,Senior Development Engineer,"Madison, WI","Tri Alpha Energy, Inc.",None,None,None,"Ability to set up tests, take measurements, and perform statistical data analysis of the results. Able to cooperate and communicate well with scientists, fellow..."
93,Technical Consultant for DSAL,"Madison, WI",HTC Global Services Inc.,None,None,None,"Responsible for sharing technology trends related to data architecture, data engineering, data management, and high performance computing to provide expertise..."
94,"Assistant Scientist, Upstream Process Development","Madison, WI",Catalent Pharma Solutions,None,122 reviews,39.6,"Data and prepare data. Accurately reviews batch records and other data, ensuring consistency. This position will perform a variety of laboratory procedures to..."
95,"Scientist, Upstream Process Development (Tech Transfer)","Madison, WI",Catalent Pharma Solutions,None,122 reviews,39.6,"Ability to peer review data to ensure data is well organized with complete documentation. Accurately reviews batch records and other data, ensuring consistency...."
96,"Scientist, Downstream Process Development","Madison, WI",Catalent Pharma Solutions,None,122 reviews,39.6,"Accurately reviews batch records and other data, ensuring consistency. Critically analyzes complex data, interprets and integrates experimental results with..."
97,"Associate Scientist, Downstream Process Development","Madison, WI",Catalent Pharma Solutions,None,122 reviews,39.6,"Ability to peer review data to ensure data is well organized with complete documentation. Accurately reviews batch records and other data, ensuring consistency...."
98,Associate Research Scientist - HPLC,"Middleton, WI",PPD,None,225 reviews,41.4,"And multiple detection techniques (UV, FL, CAD, ELSD, IC etc.), calculates and interprets data, and records data in adherence with PPD SOPs and any additional..."
99,"Scientist, Downstream Process Development (Tech Transfer)","Madison, WI",Catalent Pharma Solutions,None,122 reviews,39.6,"Accurately reviews batch records and other data, ensuring consistency. Critically analyzes complex data, interprets and integrates experimental results with..."
100,"Scientist, Upstream Process Development","Madison, WI",Catalent Pharma Solutions,None,122 reviews,39.6,"Ability to peer review data to ensure data is well. Ability to interpret data, analyze. Critically analyzes complex data, interprets and...."
101,Associate Scientist - Microbiology ( 1 year of experience ),"Middleton, WI",PPD,None,225 reviews,41.4,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications...."
102,Field Research Associate,"Arlington, WI",MONSANTO,None,487 reviews,51.6,This is a unique opportunity to work with leading edge technology and talented research scientists seeking to deliver the best in crop genetics....
103,Senior Scientist (Process Development),"Madison, WI",Lucigen Corporation,None,None,None,May supervise or mentor more junior scientists. Identifies process improvement opportunities based on first-hand observation and data review....
104,"Scientist, Analytical Sr","Madison, WI",EMD,None,30 reviews,51.6,Review analytical data. The Senior Analytical Scientist is responsible for working with and training Assistant and Associate Analytical Scientists....
105,"Assistant Scientist ( Chemistry , Biochemistry , Biology )","Middleton, WI",PPD,None,225 reviews,41.4,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications...."
106,Senior Scientist,"Middleton, WI",PPD,None,225 reviews,41.4,"Performs complex laboratory analysis of pharmaceutical products and proficiently uses analytical instrumentation, calculates and analyzes data and records data..."
107,"Assistant Scientist, Downstream Process Development","Madison, WI",Catalent Pharma Solutions,None,122 reviews,39.6,"Accurately reviews batch records and other data, ensuring consistency. The Downstream Process Development team is responsible for the development and..."
108,Clinical Laboratory Technician,"Madison, WI 53715",SSM Health,None,144 reviews,43.8,The individual must maintain the ability to assess data reflective of the patient's status and interpret the laboratory data needed for appropriate clinical...
109,Project Manager/Project Engineer,"Madison, WI","Cornerstone Environmental Group, LLC",None,3 reviews,43.2,Review environmental data and prepare environmental reports. You will work under the direction of Client Managers and Senior Project Managers located throughout...
110,"Scientist, cGMP Manufacturing","Madison, WI",Catalent Pharma Solutions,None,122 reviews,39.6,"Ability to peer review data to ensure data is well organized with complete documentation. Ability to interpret data, analyze trends and provide insight into..."
111,Sr Analytical Scientist,"Madison, WI",Merck KGaA,None,5 reviews,53.4,Review analytical data. The Senior Analytical Scientist is responsible for working with and training Assistant and Associate Analytical Scientists....
112,Statistical/Modeling Principal - Statistical Senior Analyst,"Madison, WI",American Family Insurance,None,512 reviews,43.2,"Explores data using a variety of statistical (e.g., data mining, regression, cluster analysis) techniques to answer business questions or guide future model..."
113,"Associate Scientist, cGMP Manufacturing","Madison, WI",Catalent Pharma Solutions,None,122 reviews,39.6,Ability to peer review data to ensure data is well organized with. This position requires a variety of skills necessary for biotech company operations....
114,"Senior Scientist, Pre-Formulation Development","Madison, WI 53705","Catalent Pharma Solutions, Inc.",None,None,None,"Scientist position will be responsible for leading activities of formulation development. Critically analyzes complex data, interprets and integrates..."
115,"Associate Scientist Raw Materials, Quality Control","Madison, WI",Catalent Pharma Solutions,None,122 reviews,39.6,Data archiving and maintenance. Ability to peer review data to ensure data is well organized with complete documentation....
116,Health Services Research Unit Supervisor (Research Analyst A...,"Dane, WI",Wisconsin Department of Health Services,<nobr>$37.08 an hour</nobr>,7 reviews,44.4,"The position specifically supervises population surveys (Behavior Risk Factor Survey, Family Health Survey, Pregnancy Risk Assessment Monitoring System) team,..."
117,Project Engineer / Manager - Various Disciplines,"Madison, WI",GEI Consultants Inc,None,None,None, Provide technical review and direct project activities of staff-level engineers and scientists.  Evaluate and analyze collected data and prepare technical...
118,Clinical Research Coordinator,"Madison, WI",Lovelace Respiratory Research Institute,None,12 reviews,39.0,"Will be responsible for recruiting and scheduling forensic and healthy participants, conducting assessments, and analyzing data to assure data integrity,..."
119,"Supervisor, Quality Control","Madison, WI","Illumina, Inc.",None,52 reviews,41.4,"Escalate trends in data to management. Coordinate with quality control, production and R&amp;D scientists to troubleshoot product performance issues...."
120,Senior DevOps Engineer,"Madison, WI",Strategic IT Staffing,None,4 reviews,55.8,"Doing all this with an exceptional group of software engineers, data scientists, dev-ops engineers and managers...."
121,Business Research Analyst,"Madison, WI",University of Wisconsin Extension,None,None,None,Demonstrated high proficiency in distilling large amounts of data into important relevance for leadership; Develops queries and dashboards for use by other CBI...
122,Freelance Data Scientist - Delray Beach,"Delray Beach, FL",Fractl,None,4 reviews,51.0,"We’re looking for a Data Scientist who can reveal the most interesting and surprising findings in data he/she collects, cleans, models and tests...."
123,UX Research Analyst,"Boca Raton, FL",Ascendo Resources,"<nobr>$60,000 a year</nobr>",None,None,"UX Research Analyst Direct Hire, On Site, Coral Springs, FL As a UX Research Analyst you will be collaborating daily with a multi-disciplinary team"
124,Statistical Pairs Trading and Convergence Position Available,"Delray Beach, FL",T3 Trading Group LLC,None,4 reviews,51.0,Statistical Pairs Trading and Convergence Position We are currently hiring proprietary traders for our selective Pairs Trading Group. The pair trade or pairs
125,Systems Engineer,"Boca Raton, FL",Florida Atlantic University,"<nobr>$50,000 - $65,000 a year</nobr>",145 reviews,52.1,"Ability to work effectively in an interdisciplinary team with scientists, engineers of different disciplines (electronic, optical, software and computer),..."
126,Health & Wellbeing Manager,"Juno Beach, FL",Florida Power & Light Company,None,129 reviews,51.6,Analyze health data and research effective programs/services to prevent and better manage chronic conditions....
127,Scientist I AnalyticalDeve,"Boca Raton, FL",Biotest Pharmaceuticals,None,43 reviews,40.8,Perform testing as needed to generate data for validations and other special projects. Analyze data generated from development/qualification and validation work...
128,Execution Trader and Quantitative Analyst,"West Palm Beach, FL 33401","SandPointe, LLC",None,None,None,"Execution Trader and Quantitative Analyst SandPointe, LLC—a pioneering asset manager located in Palm Beach, Florida—has an immediate job"
129,Bioinformatics Analyst IV,"Jupiter, FL 33458",The Scripps Research Institute-Scripps Florida,None,None,None,"Proficient in statistical data analysis of genomic data using R/BioConductor, Prism, SAS, MatLab, etc. This position will be involved in gene expression and..."
130,Tech Services Scientist,"Boca Raton, FL",NBTY,None,130 reviews,42.0,"Performs comprehensive, sophisticated and critical evaluation of own data. Strong laboratory and experimental skills, data analysis and written and verbal..."
131,Principal Hydrogeologist,"Boynton Beach, FL",Arcadis:US,None,None,None,"Sampling and collection of hydrogeology-related field data as may be require. Conducting analysis and interpretation of various groundwater, soil, and other..."
132,Research Analyst-Mandarin Chinese Required,"Boca Raton, FL",Reed Elsevier,None,32 reviews,42.6,"Monitor different news sources around the world for relevant data to include into the database, whether it is for source information or potential profile..."
133,Research Analyst-Mandarin Chinese Required,"Boca Raton, FL 33431",LexisNexis,None,354 reviews,43.8,"Monitor different news sources around the world for relevant data to include into the database, whether it is for source information or potential profile..."
134,Administrative and Research Analyst,"West Palm Beach, FL",City of West Palm Beach,None,32 reviews,51.0,"Under limited supervision, provides administrative, research and technical support to the Developmental Services/Planning and Zoning Department. Salary $48"
135,Entry-Level Remediation Engineer or Geologist (40362),"Boca Raton, FL 33487","Geosyntec Consultants, Inc.",None,None,None,Aquifer testing and hydrogeologic data analyses; Chemical data and contaminant fate &amp; transport evaluation; We’re looking to expand our team by hiring an entry...
136,Architectural Engineering Associate,"Boca Raton, FL 33431","Wiss, Janney, Elstner Associates",None,None,None,"Organizes field data to facilitate analysis and problem solving. Ability to record data clearly and write passages for reports, letters, etc...."
137,Operations Research Analyst,"Boca Raton, FL",Elevate Recruiting Group,None,None,None,"Gather data required for modeling from multiple data sources, writing scripts, SQL queries. Define data requirements, gather, validate information, applying..."
138,Senior Network Engineer (40360-2),"Boca Raton, FL 33487","Geosyntec Consultants, Inc.",None,None,None,"Ensure customer satisfaction with the resolution or circumvention of hardware, software, and/or circuit problems including the assessment of bandwidth..."
139,Business Analyst,"Boca Raton, FL 33431",FlexShopper,None,None,None,"The winning candidate will work with data scientists and data engineers to optimize business lines, and strategize...."
140,Lead Data Scientist - Marketing,"Boca Raton, FL",Office Depot,None,"5,236 reviews",43.2,"Data scientists interprets and apply data in analyses, and explain findings to business audiences typically, to improve products and processes...."
141,Environmental Engineer or Scientist - Junior level,"West Palm Beach, FL",GHD,None,56 reviews,42.6,"Environmental Engineer or Scientist. Environmental Engineer or Scientist - Junior level. Prepare routine correspondence, data reports, standardized documents..."
