|title|blurb|category|location|goal_USD|pledged_USD|percent_received|pledged_USD|num_backers|num_backers_tier|pledge_tier|url|exchange_rate|goal_level|goal_level_num|pledge_level|pledge_level_num|creator|creator_names|country|start|end|days
11|Pebble: E-Paper Watch for iPhone and Android|Pebble is a customizable watch. Download new watchfaces, use sports and fitness apps, get notifications from your phone.|Product Design|Palo Alto, CA|100000.0|10266845.0|10266.845|10266845.0|68929|[2615, 200, 40799, 14350, 3800, 100, 4925, 900, 482, 20, 31]|[1.0, 99.0, 115.0, 125.0, 220.0, 235.0, 240.0, 550.0, 1000.0, 1250.0, 10000.0]|/projects/597507018/pebble-e-paper-watch-for-iphone-and-android|1.0|dreaming|3|high|2|597507018|Pebble Technology|USA|2012-04-11|2012-05-18|37
12|Mighty No. 9|Classic Japanese side-scrolling action, evolved and transformed by Keiji Inafune, an all-star team of veteran Mega Man devs...and YOU!|Video Games|Tokyo, Japan|900000.0|3845170.0|427.241111111|3845170.0|67226|[2438, 34059, 6445, 7289, 4472, 1716, 3593, 2203, 959, 2858, 48, 200, 67, 16, 14, 3, 2, 4]|[5.0, 20.0, 40.0, 60.0, 60.0, 80.0, 99.0, 120.0, 175.0, 250.0, 500.0, 500.0, 600.0, 1000.0, 2500.0, 5000.0, 9999.0, 10000.0]|/projects/mightyno9/mighty-no-9|1.0|dreaming|3|dreaming|3|mightyno9|comcept USA, LLC|Japan|2013-08-31|2013-10-01|31
13|Pebble 2, Time 2 + All-New Pebble Core|Two affordable, heart rate-enabled smartwatches and a hackable, 3G wearable for phone-free running with GPS, music, and Amazon Alexa.|Product Design|Redwood City, CA|1000000.0|12779843.0|1277.9843|12779843.0|66673|[5000, 2798, 8546, 234, 679, 9996, 2042, 13446, 4208, 916, 1408, 8260, 2521, 1150, 415, 231, 741, 287, 2342, 779]|[69.0, 79.0, 99.0, 109.0, 149.0, 169.0, 169.0, 179.0, 179.0, 199.0, 199.0, 229.0, 229.0, 269.0, 269.0, 298.0, 337.0, 337.0, 339.0, 339.0]|/projects/597507018/pebble-2-time-2-and-core-an-entirely-new-3g-ultra|1.0|dreaming|3|dreaming|3|597507018|Pebble Technology|USA|2016-05-24|2016-06-30|36
14|Bloodstained: Ritual of the Night|IGAVANIA (n): A gothic, exploration-focused action platformer, designed by one of the godfathers of the genre!|Video Games|Tokyo, Japan|500000.0|5545991.0|1109.1982|5545991.0|64867|[913, 20155, 16450, 6569, 8799, 3085, 2920, 1411, 1002, 2739, 275, 20, 10, 18, 5, 10, 9, 20, 5, 5, 10, 10, 2, 5, 1, 3, 1, 4, 3]|[5.0, 28.0, 60.0, 60.0, 100.0, 125.0, 150.0, 175.0, 250.0, 300.0, 500.0, 750.0, 800.0, 950.0, 999.0, 1000.0, 1000.0, 1500.0, 1550.0, 1600.0, 2000.0, 2100.0, 2500.0, 3000.0, 3500.0, 5000.0, 7500.0, 8500.0, 10000.0]|/projects/iga/bloodstained-ritual-of-the-night|1.0|dreaming|3|dreaming|3|iga|Koji Igarashi|Japan|2015-05-11|2015-06-12|32
15|Joking Hazard|From the creators of Cyanide & Happiness comes a card game where players compete to finish an awful comic strip.|Tabletop Games|Dallas, TX|10000.0|3246588.0|32465.88|3246588.0|63758|[435, 6491, 26903, 18140, 7395, 1841, 1279, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 42, 1047, 9]|[1.0, 25.0, 35.0, 45.0, 60.0, 75.0, 100.0, 102.0, 104.0, 106.0, 106.0, 107.0, 108.0, 109.0, 111.0, 120.0, 123.0, 133.0, 200.0, 200.0, 1000.0]|/projects/cyanideandhappiness/joking-hazard|1.0|medium|1|low|0|cyanideandhappiness|Cyanide And Happiness|USA|2016-02-09|2016-03-10|30
16|OUYA: A New Kind of Video Game Console|Cracking open the last closed platform: the TV.  A beautiful, affordable console -- built on Android, by the creator of Jambox.|Gaming Hardware|Los Angeles, CA|950000.0|8596474.0|904.892|8596474.0|63416|[1770, 1898, 1000, 46124, 7755, 2500, 600, 226, 4, 12]|[10.0, 25.0, 95.0, 99.0, 140.0, 225.0, 699.0, 1337.0, 5000.0, 10000.0]|/projects/ouya/ouya-a-new-kind-of-video-game-console|1.0|dreaming|3|dreaming|3|ouya|OUYA|USA|2012-07-10|2012-08-09|29
17|COOLEST COOLER: 21st Century Cooler that's Actually Cooler|The COOLEST is a portable party disguised as a cooler, bringing blended drinks, music and fun to any outdoor occasion.|Product Design|Portland, OR|50000.0|13285226.0|26570.452|13285226.0|62642|[1078, 311, 133, 50, 20, 50213, 7063, 2455, 31, 304, 8]|[5.0, 25.0, 55.0, 165.0, 165.0, 185.0, 185.0, 225.0, 500.0, 1750.0, 2000.0]|/projects/ryangrepper/coolest-cooler-21st-century-cooler-thats-actually|1.0|high|2|medium|1|ryangrepper|Ryan Grepper|USA|2014-07-08|2014-08-29|52
18|Wasteland 2|Wasteland 2 has been released to great acclaim, earning Game of the Year from PCWorld, and reaching #1 on the Steam sales charts. Now, the Director's Cut comes as a free PC update to all backers as our thanks for making the game happen!|Video Games|Newport Beach, CA|900000.0|2933252.0|325.916888889|2933252.0|61290|[32778, 8828, 7967, 2274, 1130, 5218, 776, 407, 1200, 172, 147, 2, 13, 9, 12]|[15.0, 30.0, 50.0, 55.0, 75.0, 100.0, 150.0, 150.0, 250.0, 500.0, 1000.0, 2000.0, 2500.0, 5000.0, 10000.0]|/projects/inxile/wasteland-2|1.0|dreaming|3|dreaming|3|inxile|inXile entertainment|USA|2012-03-13|2012-04-17|35
19|Bring Back MYSTERY SCIENCE THEATER 3000|You did it: you brought back MYSTERY SCIENCE THEATER 3000! Thanks to you, MST3K will be able to shoot FOURTEEN NEW EPISODES next year, including a new holiday special!|Television|Minneapolis, MN|2000000.0|5764229.0|288.21145|5764229.0|48270|[5319, 3024, 5269, 7452, 1649, 3543, 11148, 8, 2, 1726, 4079, 690, 1781, 130, 14, 28, 115, 2, 1, 48, 70, 48, 108, 113, 14, 11, 1, 2, 1, 4, 18, 0, 15, 2, 10, 4, 3, 1, 11, 3, 5]|[10.0, 25.0, 35.0, 50.0, 75.0, 85.0, 100.0, 100.0, 125.0, 150.0, 200.0, 250.0, 300.0, 400.0, 498.0, 499.0, 500.0, 750.0, 750.0, 751.0, 752.0, 872.0, 1000.0, 1000.0, 1500.0, 2001.0, 2500.0, 3000.0, 3500.0, 4000.0, 5000.0, 5000.0, 6000.0, 6500.0, 7500.0, 8000.0, 8000.0, 9999.0, 10000.0, 15000.0, 25000.0]|/projects/mst3k/bringbackmst3k|1.0|dreaming|3|dreaming|3|mst3k|Joel Hodgson|USA|2015-11-10|2015-12-12|31
20|WISH I WAS HERE|"""Hell, there are no rules here - we're trying to accomplish something."" - Thomas A. Edison"|Narrative Film|Los Angeles, CA|2000000.0|3105473.0|155.27365|3105473.0|46520|[9133, 6208, 5706, 9952, 2952, 254, 449, 500, 396, 614, 2, 158, 172, 280, 1000, 120, 150, 229, 55, 557, 600, 710, 400, 389, 301, 330, 325, 175, 160, 215, 75, 99, 135, 36, 69, 117, 25, 25, 15, 25, 14, 22, 25, 25, 17, 19, 25, 48, 49, 75, 75, 22, 19, 18, 5, 4, 1, 9, 2, 3, 1, 1]|[10.0, 20.0, 30.0, 40.0, 60.0, 75.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 125.0, 150.0, 175.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 250.0, 500.0, 600.0, 600.0, 600.0, 600.0, 600.0, 600.0, 600.0, 600.0, 600.0, 600.0, 600.0, 750.0, 750.0, 1000.0, 1000.0, 1500.0, 2500.0, 3000.0, 5000.0, 5000.0, 7000.0, 7500.0, 8000.0, 9000.0, 10000.0, 10000.0]|/projects/1869987317/wish-i-was-here-1|1.0|dreaming|3|dreaming|3|1869987317|Zach Braff|USA|2013-04-24|2013-05-24|30
21|"The World's Best TRAVEL JACKET with 15 Features || BAUBAX"|TRAVEL JACKET with built-in Neck Pillow, Eye Mask, Gloves, Earphone Holders, Drink Pocket, Tech Pockets of all sizes! Comes in 4 Styles|Product Design|Chicago, IL|20000.0|9192055.0|45960.275|9192055.0|44949|[319, 334, 100, 200, 970, 50, 1735, 1824, 3559, 630, 3100, 6200, 1168, 2256, 4107, 1249, 827, 25, 50, 865, 325, 1940, 1120, 673, 5185, 1903, 287, 80, 10, 220, 154, 808, 430, 50, 610, 404, 328, 155, 100, 145, 97, 70, 61]|[5.0, 25.0, 89.0, 99.0, 99.0, 109.0, 109.0, 109.0, 119.0, 119.0, 119.0, 129.0, 129.0, 129.0, 139.0, 149.0, 159.0, 178.0, 188.0, 208.0, 228.0, 229.0, 238.0, 248.0, 249.0, 269.0, 279.0, 337.0, 347.0, 349.0, 367.0, 369.0, 389.0, 417.0, 449.0, 459.0, 479.0, 559.0, 599.0, 669.0, 719.0, 1099.0, 1199.0]|/projects/597538543/the-worlds-best-travel-jacket-with-15-features-bau|1.0|high|2|low|0|597538543|BAUBAX LLC|USA|2015-07-07|2015-09-03|58
22|Planetary Annihilation - A Next Generation RTS|Planetary Annihilation brings RTS gameplay to a new generation of players in a way that's never been seen before.|Video Games|Kirkland, WA|900000.0|2229344.0|247.704888889|2229344.0|44162|[5000, 18720, 5513, 6462, 1543, 1000, 3908, 116, 977, 380, 118, 91, 6, 5]|[15.0, 20.0, 40.0, 50.0, 90.0, 95.0, 100.0, 140.0, 150.0, 250.0, 500.0, 1000.0, 5000.0, 10000.0]|/projects/659943965/planetary-annihilation-a-next-generation-rts|1.0|dreaming|3|dreaming|3|659943965|Uber Entertainment Inc|USA|2012-08-15|2012-09-14|30
23|Divinity: Original Sin 2|An epic RPG with turn-based combat, cooperative/competitive multiplayer; sequel to Divinity: Original Sin, GameSpot's PC Game of 2014.|Video Games|Sacramento, CA|500000.0|2032434.0|406.4868|2032434.0|42713|[103, 10000, 10000, 3954, 3407, 675, 4109, 4664, 347, 144, 217, 805, 243, 189, 223, 83, 2168, 373, 49, 61, 200, 78, 179, 100, 28, 49, 24, 20, 12, 10, 13, 10, 11, 12, 0, 1, 2]|[5.0, 25.0, 26.0, 27.0, 30.0, 40.0, 50.0, 50.0, 60.0, 60.0, 80.0, 90.0, 90.0, 100.0, 100.0, 100.0, 125.0, 125.0, 130.0, 190.0, 200.0, 200.0, 205.0, 300.0, 310.0, 350.0, 400.0, 500.0, 550.0, 650.0, 700.0, 750.0, 800.0, 1000.0, 2500.0, 5000.0, 10000.0]|/projects/larianstudios/divinity-original-sin-2|1.0|dreaming|3|dreaming|3|larianstudios|Larian Studios LLC|USA|2015-08-26|2015-09-30|35
24|BATTLETECH - Tactical 'Mech Combat Returns to the PC.|Missed the Kickstarter? Become a Late Reinforcement Backer at battletechgame.com|Video Games|Kirkland, WA|250000.0|2785537.0|1114.2148|2785537.0|41733|[574, 18594, 2666, 12114, 2266, 3219, 2140, 52, 50, 5, 2, 2, 2, 1]|[1.0, 25.0, 35.0, 50.0, 85.0, 125.0, 275.0, 1000.0, 2000.0, 4000.0, 4000.0, 10000.0, 10000.0, 10000.0]|/projects/webeharebrained/battletech|1.0|dreaming|3|dreaming|3|webeharebrained|Harebrained Schemes LLC|USA|2015-09-29|2015-11-03|35
25|CHIP - The World's First Nine Dollar Computer|Built for work, play, and everything in between!   \(•◡•)/|Hardware|Oakland, CA|50000.0|2071927.0|4143.854|2071927.0|39560|[5000, 5000, 3996, 627, 1272, 2624, 6200, 3297, 3261, 3281, 3000, 670, 1000, 34]|[9.0, 9.0, 9.0, 9.0, 19.0, 19.0, 24.0, 49.0, 64.0, 93.0, 93.0, 98.0, 150.0, 489.0]|/projects/1598272670/chip-the-worlds-first-9-computer|1.0|high|2|medium|1|1598272670|Next Thing Co.|USA|2015-05-07|2015-06-06|30
26|PINE A64, First $15 64-Bit Single Board Super Computer|PINE A64 is the world's first 64-bit expandable Quad Core 1.2Ghz supercomputer, tablet, media center, and more... starting at just $15.|Hardware|San Francisco, CA|31416.0|1731465.0|5511.41138273|1731465.0|36781|[144, 66, 10, 1000, 2555, 159, 15, 300, 1000, 5000, 3247, 1000, 13647, 1465, 2197, 4777, 11, 57, 2]|[1.0, 5.0, 5.0, 15.0, 15.0, 15.0, 16.0, 19.0, 19.0, 19.0, 19.0, 29.0, 29.0, 59.0, 59.0, 89.0, 399.0, 499.0, 5000.0]|/projects/pine64/pine-a64-first-15-64-bit-single-board-super-comput|1.0|high|2|low|0|pine64|PINE64 Inc.|USA|2015-12-09|2016-01-23|45
27|Shadowrun Returns|Shadowrun Returns brings back one of our most original & cherished game settings as a 2D turn-based RPG for tablets & PC.|Video Games|Bellevue, WA|400000.0|1836447.0|459.11175|1836447.0|36276|[15502, 8478, 1397, 4378, 1128, 4247, 379, 417, 100, 41, 12, 0, 0, 3]|[15.0, 30.0, 50.0, 60.0, 100.0, 125.0, 175.0, 250.0, 500.0, 1000.0, 2500.0, 5000.0, 7500.0, 10000.0]|/projects/webeharebrained/shadowrun-returns|1.0|dreaming|3|dreaming|3|webeharebrained|Harebrained Schemes LLC|USA|2012-04-04|2012-04-29|24
28|Kingdom Come: Deliverance|Realistic single-player RPG set in the medieval Europe. Open-world sandbox with period accurate melee combat. Dungeons & no Dragons.|Video Games|Prague, Czech Republic|375000.0|1382963.75|368.790333333|1382963.75|35384|[355, 8653, 6331, 765, 8047, 1817, 4944, 994, 2100, 680, 241, 50, 50, 10, 2, 3]|[5.0, 25.0, 33.0, 33.0, 41.0, 41.0, 49.0, 66.0, 107.0, 205.0, 493.0, 986.0, 986.0, 1971.0, 4929.0, 8214.0]|/projects/1294225970/kingdom-come-deliverance|1.25|dreaming|3|dreaming|3|1294225970|Warhorse Studios|Czech Republic|2014-01-22|2014-02-20|29
29|Secret Hitler|A social deduction game for 5-10 players about finding and stopping the Secret Hitler.|Tabletop Games|Chicago, IL|54450.0|1479046.0|2716.3379247|1479046.0|34565|[8352, 12447, 3368, 10120, 71, 58, 20, 6]|[25.0, 30.0, 37.0, 42.0, 90.0, 150.0, 225.0, 300.0]|/projects/maxtemkin/secret-hitler|1.0|dreaming|3|medium|1|maxtemkin|Max Temkin|USA|2015-11-23|2015-12-23|30
30|Star Citizen|Reclaim the stars in the exciting new Space Epic from legendary game designer Chris Roberts.|Video Games|Los Angeles, CA|500000.0|2134374.0|426.8748|2134374.0|34397|[2697, 163, 5000, 5000, 3000, 4966, 2010, 3541, 2278, 627, 220, 163, 259, 82, 1041, 1453, 1509, 115, 22, 3, 1, 1]|[5.0, 10.0, 30.0, 30.0, 35.0, 37.0, 40.0, 60.0, 60.0, 60.0, 110.0, 110.0, 110.0, 120.0, 125.0, 125.0, 250.0, 500.0, 1000.0, 2500.0, 5000.0, 10000.0]|/projects/cig/star-citizen|1.0|dreaming|3|dreaming|3|cig|Cloud Imperium Games Corporation|USA|2012-10-18|2012-11-19|32
31|The Bard's Tale IV|From the creators of Wasteland 2 and Torment comes the long awaited sequel to the Bard's Tale trilogy. Thank you for making this game a reality. The bard is back!|Video Games|Newport Beach, CA|1250000.0|1519680.0|121.5744|1519680.0|33741|[74, 14999, 7786, 304, 503, 481, 674, 2445, 1199, 347, 552, 365, 1999, 138, 1033, 194, 78, 88, 113, 8, 16, 37, 96, 21, 12, 4, 5, 6, 3, 4, 5]|[5.0, 20.0, 25.0, 27.0, 30.0, 33.0, 40.0, 50.0, 55.0, 65.0, 70.0, 75.0, 95.0, 105.0, 105.0, 135.0, 185.0, 200.0, 230.0, 350.0, 400.0, 550.0, 650.0, 675.0, 750.0, 750.0, 1000.0, 1200.0, 2000.0, 5000.0, 10000.0]|/projects/inxile/the-bards-tale-iv|1.0|dreaming|3|dreaming|3|inxile|inXile entertainment|USA|2015-06-02|2015-07-10|38
32|Double Fine's MASSIVE CHALICE|A tactical strategy game on an epic fantasy timeline from the creators of Psychonauts, Brütal Legend, and Iron Brigade!|Video Games|San Francisco, CA|725000.0|1229015.0|169.519310345|1229015.0|31774|[20286, 2548, 5143, 518, 1239, 913, 581, 194, 9, 4, 4]|[20.0, 35.0, 50.0, 75.0, 100.0, 100.0, 150.0, 250.0, 1000.0, 5000.0, 10000.0]|/projects/doublefine/double-fines-massive-chalice|1.0|dreaming|3|dreaming|3|doublefine|Double Fine and 2 Player Productions|USA|2013-05-30|2013-06-27|28
33|Shadowrun: Hong Kong|A Shadowrun cyberpunk cRPG set in 2056's Magically Awakened Hong Kong by the developers of Shadowrun Returns & Dragonfall.|Video Games|Kirkland, WA|100000.0|1204726.0|1204.726|1204726.0|31497|[153, 19689, 2497, 3291, 1, 1683, 598, 1073, 186, 1183, 262, 714, 80, 43, 8, 1]|[1.0, 15.0, 25.0, 35.0, 35.0, 55.0, 65.0, 75.0, 100.0, 150.0, 180.0, 225.0, 500.0, 1000.0, 2500.0, 10000.0]|/projects/webeharebrained/shadowrun-hong-kong|1.0|dreaming|3|high|2|webeharebrained|Harebrained Schemes LLC|USA|2015-01-13|2015-02-17|35
34|Dark Souls\u2122 - The Board Game|Dark Souls™ - The Board Game is a strategically challenging, deeply immersive combat exploration game for 1-4 players.|Tabletop Games|Stockport, UK|62500.0|4714342.5|7542.948|4714342.5|31178|[998, 28395, 759]|[106.0, 113.0, 283.0]|/projects/steamforged/dark-soulstm-the-board-game|1.25|dreaming|3|medium|1|steamforged|Steamforged Games Ltd|USA|2016-04-19|2016-05-16|27
35|Million Dollars, But... The Game|What would you do for a million dollars? This card game from Rooster Teeth puts your morals, imagination, and friendships to the test.|Tabletop Games|Austin, TX|10000.0|1353024.0|13530.24|1353024.0|30546|[2392, 1669, 15146, 6508, 46, 95, 259, 317, 2559, 497, 252, 600, 10]|[25.0, 25.0, 35.0, 35.0, 45.0, 45.0, 65.0, 65.0, 75.0, 75.0, 100.0, 150.0, 2500.0]|/projects/roosterteeth/million-dollars-but-the-game|1.0|medium|1|low|0|roosterteeth|Rooster Teeth|USA|2016-05-11|2016-06-10|29
36|Pressy - the Almighty Android Button!|Pressy brings back simplicity to your phone. Perform your favorite and most common actions with a simple, intuitive physical button.|Product Design|New York, NY|40000.0|695138.0|1737.845|695138.0|28818|[79, 23, 300, 5961, 1678, 1255, 14358, 3553, 1135, 289, 1]|[5.0, 12.0, 15.0, 17.0, 20.0, 20.0, 20.0, 25.0, 35.0, 45.0, 1000.0]|/projects/556341540/pressy-the-almighty-android-button|1.0|high|2|low|0|556341540|Nimrod Back|USA|2013-08-28|2013-10-14|47
37|Xpand\xae Lacing System: Shoelaces Redesigned|Comfort, style and performance packed into one shoe lacing system! Never tie your shoelaces again.  The worlds simplest shoelaces.|Product Design|Anacortes, WA|10000.0|851108.0|8511.08|851108.0|28274|[68, 1445, 13230, 666, 8704, 385, 3509, 238]|[1.0, 8.0, 17.0, 19.0, 30.0, 33.0, 45.0, 90.0]|/projects/914635363/xpand-lacing-system|1.0|medium|1|low|0|914635363|Charles Harris|USA|2015-10-13|2015-11-25|42
