,Job_Title,Location,Company,Salary,No_of_Reviews,Company_Ratings,Job_Summary,Salary_Lower,Salary_Higher,State,City
19,Data Scientist-1,"Duluth, GA 30097",The Centrics Group,96000.0,None,None,"2+ years’ experience with data analytics, data structures, algorithms. Experience with large data sets or Big Data (MapReduce, Hadoop, Aster, Hive, etc)....",90000.0,102000.0,GA,"Duluth, G"
20,Lead Quantitative Analyst,"Atlanta, GA",SearchBankingJobs,177500.0,None,None,"The client is looking for talented individuals who love data, love solving business problems, and want to see their recommendations in action....",150000.0,205000.0,GA,Atlanta
21,Sr Data Scientist,"Atlanta, GA 30326 (Buckhead area)","eHire, LLC",150000.0,None,None,Senior Data Scientist*. A strong understanding of data profiling and data cleansing techniques. The Senior Data Scientist is responsible for collecting data and...,150000.0,150000.0,GA,"Atlanta, GA 30326 (Buckhead area"
22,Senior R&D Statistician,"Roswell, GA",Principle Solutions Group,130000.0,8.0,42.6,"R&amp;D Statistician to assist with the research and development of new data sources. You will be responsible for the development of new credit models, identifying...",130000.0,130000.0,GA,Roswell
23,Senior Data Scientist,"Atlanta, GA",Analytic Recruiting,112500.0,2.0,51.0,"Python, data mining, data science; The data Scientist must also be able to manage complicated projects involving multiple internal/external stakeholders and...",100000.0,125000.0,GA,Atlanta
24,"Scientist, Med Imag Analysis","Atlanta, GA",Emory University,69900.0,255.0,51.6,"The Medical Image Analysis Scientist, works with Emory Radiology &amp; Imaging Sciences faculty to help develop image analysis and image understanding algorithms...",69900.0,69900.0,GA,Atlanta
25,Epidemiologist,"Atlanta, GA",Centers for Disease Control and Prevention,101553.5,64.0,54.0,Assessment of the adequacy and quality of data used in the analyses; Participate in the synthesis of social science and epidemiologic data to be applied toward...,88305.0,114802.0,GA,Atlanta
26,Associate Research Analyst,"Atlanta, GA 30341",CSTE,51706.0,None,None,"Skills with developing and presenting epidemiologic data; For more than six decades, the Council of State and Territorial Epidemiologists (CSTE) and the Centers...",51706.0,51706.0,GA,"Atlanta, G"
27,Market Research & Sales Analyst,"Atlanta, GA",Interesse International Inc,65000.0,None,None,Estimate numerical data; Must see through the data and analyze data to find conclusion; Works with large amounts of data:....,60000.0,70000.0,GA,Atlanta
28,Sponsored Research Financial Analyst,"Atlanta, GA",Emory University,66700.0,255.0,51.6,"Responsible for post award processing of grants and contracts in the Office of Grants &amp; Contracts. Provide account management, reconciliation, and resolution",66700.0,66700.0,GA,Atlanta
29,Supervisory IT Specialist,"Atlanta, GA",Centers for Disease Control and Prevention,141158.0,64.0,54.0,"Direct a staff of highly technical application and data management specialists, computer experts, computer specialists, computer scientists, and project...",122744.0,159572.0,GA,Atlanta
30,Audit Snr (Banking) - Data Analysis 60K-80K,"Atlanta, GA",Synergy Search Group,80000.0,194.0,42.0,"Duties will include data conversion from multiple systems into analytical software such as ACL, using data analytical techniques to validate the integrity of...",80000.0,80000.0,GA,Atlanta
31,Pivotus Ventures - Data Scientist - Palo Alto,"Palo Alto, CA",Umpqua Bank,130000.0,88.0,43.8,You have demonstrated experience as a data scientist working with broad requirements to deliver commercially applicable analytics....,100000.0,160000.0,CA,Palo Alto
32,Data Scientist,"Redwood City, CA",Workbridge Associates,115000.0,25.0,41.4,As a Data Scientist you will be analyzing large data sets to provide insightful dashboards and provide answers to critical questions....,100000.0,130000.0,CA,Redwood City
33,Research Analyst,"Saratoga, CA 95070",West Valley-Mission Community College District,79542.0,None,None,Utilize query programs to access mainframe data; Download and transfer data as required for various projects;...,75924.0,83160.0,CA,"Saratoga, C"
34,Data Scientist,"Redwood City, CA",Jobspring Partners,140000.0,12.0,40.8,"A well-known established company is looking for a Data Scientist and is willing to pay up to $150,000. You will be part of the growth team, and will have...",130000.0,150000.0,CA,Redwood City
35,Associate Scientist,"Sunnyvale, CA 94089",Translational Bioscience,60000.0,None,None,Interprets scientific data and results. Job Duties include but are not limited to:....,60000.0,60000.0,CA,"Sunnyvale, C"
36,Senior Data Scientist,"Redwood City, CA",Workbridge Associates,155000.0,25.0,41.4,Machine Learning and Data Mining. A growing media-buying platform company in Redwood City is looking for a Senior Data Scientist to join their team....,130000.0,180000.0,CA,Redwood City
37,Sr. Data Scientist,"Mountain View, CA 94041","NextDeavor, Inc.",150000.0,None,None,Data analysis and statistics. Ad hoc data analysis as well as production quality data analysis code. We are looking to build our Data Science team....,150000.0,150000.0,CA,"Mountain View, C"
38,Senior Machine Learning Scientist,"Santa Clara, CA",Tandem Recruiting Group,200000.0,None,None,"Research Scientist -- Computer Vision &amp; Machine Learning. Its Research Institute accumulates over a decade R&amp;D experience in Video Camera, Image Processing,...",200000.0,200000.0,CA,Santa Clara
39,Data Scientist- NLP/Machine Learning experience,"San Jose, CA 95113 (Downtown area)",Jobspring Partners,165000.0,12.0,40.8,"3+ years of Data Science Experience. There will be many roles filled over the next few months, but one of the most pressing need is for a talented Junior and...",150000.0,180000.0,CA,"San Jose, CA 95113 (Downtown area"
40,None,"San Jose, CA",DCSI- Global Consulting Company,170000.0,None,None,Chief Data Scientist – Oil &amp; Gas Analytics Grade :. Identify informative internal &amp; external data sources &amp; establish methods to incorporate into predictive and...,170000.0,170000.0,CA,San Jose
41,Principle Data Scientist,"San Jose, CA 95113 (Downtown area)",Workbridge Associates,150000.0,25.0,41.4,"A San Jose based Start-Up is hiring for a Principal Data Scientist to help lead a team. Along with being the most senior Data Scientist on the team, this...",100000.0,200000.0,CA,"San Jose, CA 95113 (Downtown area"
42,Earth Data Support Scientist - GD100,"Greenbelt, MD 20770","ADNET Systems, Inc.",75000.0,4.0,54.0,GD100 Earth Data Support Scientist*. Experience in an operational data center or with large data storage systems....,75000.0,75000.0,MD,"Greenbelt, M"
43,Data Scientist,"Fort George G Meade, MD",National Security Agency,75091.5,78.0,53.4,"Identify and analyze anomalous data. Such as calculus, differential equations, discrete mathematics) and/or computer science (e.g., algorithms, programming,...",65572.0,84611.0,MD,Fort George G Meade
44,Associate Data Science,"Washington, DC",Selby Jennings,137500.0,None,None,Associate Data Scientist. Work with experienced data scientists and learn an industry that is always growing in a laid back environment....,125000.0,150000.0,DC,Washington
45,Scientific Programmer - GD099,"Greenbelt, MD","ADNET Systems, Inc.",80000.0,4.0,54.0,Come work side by side with top developers and scientists developing Earth/Atmospheric Science data analysis and visualization tools....,80000.0,80000.0,MD,Greenbelt
46,"Research Analyst, Institutional Research and Reporting","Largo, MD",Prince George's Community College,63863.0,60.0,52.8,"Under general supervision, responsible for supporting the Office of Planning, Assessment, and Institutional Research ( OPAIR ) by extracting data from the...",63863.0,63863.0,MD,Largo
47,Cryptologic Computer Scientist,"Fort George G Meade, MD",National Security Agency,75091.5,78.0,53.4,"Create computer algorithms, data models, and protocols. Vital to our success will be a core of Computer Scientists....",65572.0,84611.0,MD,Fort George G Meade
48,Senior Research Analyst,"Washington, DC","Behavioral Health, Department of",86711.0,None,None,Develop data collection instruments and processes and translate data via analysis and visual presentation....,76082.0,97340.0,DC,Washington
49,Clinical Assistant Professor,"College Park, MD",University of Maryland,65000.0,409.0,52.1,"This person will be responsible for providing data analysis capabilities, consultation, and expertise to researchers utilizing NGS data for applied microbial...",65000.0,65000.0,MD,College Park
50,Research Analyst/Senior Research Analyst,"Washington, DC",Smart Electric Power Alliance,72500.0,None,None,"OR eight or more years of experience in a position requiring data acquisition, data analysis, and data presentation....",55000.0,90000.0,DC,Washington
51,Research Statistician,"Washington, DC",U.S. Department of Labor,98642.0,264.0,51.0,Economic Statistical Data Management and Analysis. Analyzes data obtained in laboratory studies and field tests designed to investigate survey concepts....,77490.0,119794.0,DC,Washington
52,Data Scientist,"Baltimore, MD",Johns Hopkins University,65643.5,348.0,51.0,The Institute for Data Intensive Science and Engineering comprising faculty that study big data systems and applications....,55310.0,75977.0,MD,Baltimore
53,Associate Scientist,"Rockville, MD",Genius Pool,80000.0,None,None,"Makes detailed observations, analyzes data and interprets results. Our client is seeking an Associate Scientist to work out of their Rockville, MD location....",80000.0,80000.0,MD,Rockville
54,Data Scientist - Experienced,"Fort George G Meade, MD",National Security Agency,116850.0,78.0,53.4,"Identify and analyze anomalous data. Such as calculus, differential equations, discrete mathematics) and/or computer science (e.g., algorithms, programming,...",92145.0,141555.0,MD,Fort George G Meade
55,Data Scientist,"Alexandria, VA",Jobspring Partners,125000.0,12.0,40.8,The data scientist will develop algorithms and analytic solutions to prepare for research and development testing....,110000.0,140000.0,VA,Alexandria
56,Research Assistant CN-30/40,"Washington, DC",Consumer Financial Protection Bureau,83627.5,20.0,42.6,"Producing reports and providing information on database contents to support the requirements of management, data maintainers, and data users....",48509.0,118746.0,DC,Washington
57,Economist or Statistician (Economics),"Washington, DC",U.S. Department of Labor,105969.5,264.0,51.0,Economic/Statistical Data Management and Analysis. Reviews various economic variables in data to isolate true economic changes from non-economic changes....,92145.0,119794.0,DC,Washington
58,Information Technology Specialist (LIMS),"Washington, DC",Dept of Forensic Sciences,92736.5,None,None,"Assists in populating application configuration and data tables, including migration of some historical data; As well as training Lab Managers and scientists in...",81050.0,104423.0,DC,Washington
59,Data Scientist,"Alexandria, VA",Selby Jennings,150000.0,None,None,Small Software Engineering and analytics firm is looking for experienced data scientists to join a highly data driven team. Data Scientist-2 openings....,125000.0,175000.0,VA,Alexandria
60,Research Analyst,"West Valley City, UT",West Valley College,79542.0,12.0,55.1,"Data analysis tools, techniques and terminology. Access mainframe data and utilize query tools. Download and transfer data as required for various projects;...",75924.0,83160.0,UT,West Valley City
61,NEPA Planner,"Salt Lake City, UT 84106 (Sugar House area)","H.W. Lochner, Inc.",70000.0,None,None,"Experience collaborating with other environmental and engineering staff to perform NEPA-related research, data collection and document preparation for...",55000.0,85000.0,UT,"Salt Lake City, UT 84106 (Sugar House area"
62,Computer Vision Scientist 2,"Alexandria, VA",TULKORP.,135000.0,None,None,"Implement models for visual recognition, indexing, and visualization that are robust to highly-dynamic, large-scale data....",135000.0,135000.0,VA,Alexandria
63,Senior Statistician (External),"Quantico, VA",Federal Bureau of Investigation,143487.0,176.0,54.0,­Serves as advisor or consultant to the FBI concerning the proper use of statistical data. Assists in collecting and presenting data using statistical software...,123175.0,163799.0,VA,Quantico
64,Senior Software Developer,"Exeter, NH 03833",Liberty Mutual,103300.0,1.0,43.8,"You’ll have the opportunity to work in an Agile environment to collaborate closely with other developers, architects, business analysts and advanced data...",90500.0,116100.0,NH,"Exeter, N"
65,Senior Data Scientist,"Boulder, CO",CaliberMind,120000.0,None,None,The Chief Data Scientist is a critical role in the CaliberMind team. Preferred - PhD in Computer Science including machine learning and data mining....,120000.0,120000.0,CO,Boulder
66,RESEARCH ANALYST,"Denver, CO",Denver Public Schools,63339.0,157.0,43.8,"Fulfill internal data requests, and coordinates external requests to conduct research within Denver Public Schools....",57580.0,69098.0,CO,Denver
67,Health & Human Sciences Librarian,"Boulder, CO",University of Colorado,50500.0,141.0,51.6,Experience finding data and/or providing support. Information science including scholarly communication and research data....,50500.0,50500.0,CO,Boulder
68,Government Enterprise Architect,"Denver, CO",xentity corporation,111000.0,None,None,"Validate data models (logical and physical) for adherence to data management standards. Maintain a data dictionary containing information about data, including...",95000.0,127000.0,CO,Denver
69,Bioinformationist,"Aurora, CO",University of Colorado,56500.0,141.0,51.6,"Research information and data problems. Certification as a Data Carpentry instructor. Experience with data management best practices, especially the....",50000.0,63000.0,CO,Aurora
70,"Big Data Developer (Spark, Hadoop, Hive)","Denver, CO",10Roof Technology,105000.0,None,None,"Data Scientist, and a UI Developer. Great attitude to learn new technologies and build data applications using Big Data technologies (Greenplum / Hadoop)....",105000.0,105000.0,CO,Denver
71,Managing Director for STROBE,"Boulder, CO",University of Colorado,107500.0,141.0,51.6,"Of visiting scientists; In use of excel, data analysis and database systems. This is a 100% grant funded position with primary....",100000.0,115000.0,CO,Boulder
72,Food / Flavor Application Scientist,"Aurora, CO 80011 (Norfolk Glen area)",MycoTechnology,50000.0,None,None,Interpreting data and adhering to strict guidelines on documentation when recording data. We are looking for a Food Application Scientist to join our energetic...,50000.0,50000.0,CO,"Aurora, CO 80011 (Norfolk Glen area"
73,RN-Statistical Research Specilist Nursing,"Denver, CO 80204 (Central West Denver area)",Denver Health,66654.0,88.0,42.0,"Typically, one (1) or more years of healthcare data analysis working with supporting or maintenance of databases and the analysis of data to drive improvements...",66654.0,66654.0,CO,"Denver, CO 80204 (Central West Denver area"
74,Data and EMS Systems Statistical Analyst (Statistical Analys...,"Denver, CO",Colorado Department of Human Services,57534.0,None,None,"Independently analyzes data from the databases maintained by the Emergency Medical and Trauma Services Branch, including EMS and trauma registry data, hospital...",53520.0,61548.0,CO,Denver
75,Research Scientist 5A Eating Disorder Unit,"Denver, CO 80204 (Central West Denver area)",Denver Health,93645.0,88.0,42.0,"Two years of scientific research related experience, knowledge &amp; competence with grant application, statistics, data analysis &amp; scientific writing....",93645.0,93645.0,CO,"Denver, CO 80204 (Central West Denver area"
76,Senior Informatics Analyst,"Aurora, CO",University of Colorado,68000.0,141.0,51.6,"Bioinformatics application development and creating data driven documents using. In the design of new studies, data cleaning and association testing,....",68000.0,68000.0,CO,Aurora
77,Business Manager - RADARS,"Denver, CO 80204 (Central West Denver area)",Denver Health,88091.0,88.0,42.0,"Budget development, processing and monitoring and based upon analyzed financial data makes recommendation for changes....",88091.0,88091.0,CO,"Denver, CO 80204 (Central West Denver area"
78,Global Marketing Manager - Food Manufacturing,"Denver, CO",Potatoes USA,85000.0,None,None,Extensive knowledge and experience analyzing sales and marketing data and presenting in an effective manner....,85000.0,85000.0,CO,Denver
79,Data Scientist,"Deerfield, IL",Hirewell,125000.0,None,None,"Data manipulation with SQL systems. Manipulate and analyze complex, high-volume, high-dimensionality data from varying sources using a variety of tools and data...",125000.0,125000.0,IL,Deerfield
80,Engineer/Scientist (Solid Waste),"Saint Charles, IL 60174",CB&I,40000.0,None,None,Collection and interpretation of scientific data. CB&amp;I has an opening in St....,40000.0,40000.0,IL,"Saint Charles, I"
81,Senior Data Scientist,"Schaumburg, IL",Jobspring Partners,110000.0,12.0,40.8,The company that’s been working with marketing data since before it was cool is looking for a Senior Data Scientist....,95000.0,125000.0,IL,Schaumburg
82,Senior Data Scientist,"Des Plaines, IL",Workbridge Associates,155000.0,25.0,41.4,An established and industry leading company in the transportation and logistics space is looking for a Senior Data Scientist....,130000.0,180000.0,IL,Des Plaines
83,Statistical Analyst,"Evanston, IL",Smith Hanley Associates,67500.0,12.0,51.6,Present data findings to management and senior leadership. 2 to 3 years of statistical and data analysis work experience required....,60000.0,75000.0,IL,Evanston
84,Data Scientist,"Evanston, IL",Jobspring Partners,90000.0,12.0,40.8,"Python, Data, Data Scientist, Hadoop, AWS-Redshift, R, SQL, Anaconda, SciPy, NumPy, Redis, Pandas, Machine Learning, Language Processing, Predictive Analytics,...",80000.0,100000.0,IL,Evanston
85,"Director, Phase I Biostatistics","North Chicago, IL",Penfield Search Partners,190000.0,None,None,"Oversee or partner in development of data quality assurance checks, ensuring accuracy and consistency of data released for statistical analysis....",190000.0,190000.0,IL,North Chicago
86,Application Scientist,"North Chicago, IL","Global Personnel Search, Inc.",135000.0,17.0,42.6,Partner with the sales team as our technical representative to develop strategic relationships with formulation scientists....,120000.0,150000.0,IL,North Chicago
87,Research Scientist I,"Albany, NY",Health Research Incorporated,53875.0,None,None,"The incumbent will assist in interviewing enteric disease patients, implementing faster and more complete analysis of surveillance data, analyzing completeness...",53875.0,53875.0,NY,Albany
88,Research Scientist 1 (Epidemiology) - 07090,"Albany, NY","Health, Department of",60583.0,None,None,"The Research Scientist 1 (Epidemiology), G-18 will support the surveillance data collection, reporting, quality improvement and analysis needs for the Bureau of...",53339.0,67827.0,NY,Albany
89,Assistant Research Scientist,"Albany, NY",Health Research Incorporated,43264.0,None,None,Prepare and compile data reports and summaries. The Assistant Research Scientist will assist in maintaining and expanding the real-time RT-PCR testing capacity...,43264.0,43264.0,NY,Albany
90,Senior Process Engineer - Food Industry,"Albany, NY",3coast,97500.0,None,None,"?Work closely with other specialists (including scientists). ?Monitor and improve the efficiency, output and safety of manufacturing processes through...",75000.0,120000.0,NY,Albany
91,Economist/Statistician,"Jacksonville, FL",U.S. Department of Labor,46038.0,264.0,51.0,Economic Data Management and Analysis :. The employee will perform entry level direct data collection from enterprises....,40033.0,52043.0,FL,Jacksonville
92,CHEMIST ADMINISTRATOR - SES,"Duval County, FL",PeopleFirst Florida HR,54643.0,None,None,Analyzing Data or Information. Regularly reports production/performance data and findings to senior staff and laboratory administration....,43507.0,65779.0,FL,Duval County
93,Research Analyst,"Chatsworth, CA 91311",Phillips Graduate University,55000.0,None,None,Demonstrated aptitude for data extraction from Jenzabar using InfoMaker. Provide technical assistance and data to program chairs for student learning assessment...,50000.0,60000.0,CA,"Chatsworth, C"
94,"RESEARCH ANALYST I, BEHAVIORAL SCIENCES/SPANISH","Los Angeles, CA",Los Angeles County Human Resources,56072.0,None,None,Assists in constructing codes for the machine processing of research data. Prepares tabular and graphic presentations of raw and analyzed data....,50010.0,62134.0,CA,Los Angeles
95,"RESEARCH ANALYST I, BEHAVIORAL SCIENCES/SPANISH","Los Angeles, CA",Los Angeles County Department of Human Resources,56072.0,None,None,Assists in constructing codes for the machine processing of research data. Prepares tabular and graphic presentations of raw and analyzed data....,50010.0,62134.0,CA,Los Angeles
96,SENIOR DASHBOARD DATA SCIENTIST (160050),"Los Angeles, CA",California State University,102636.0,449.0,53.4,SENIOR DASHBOARD DATA SCIENTIST. Cal State LA is seeking a Senior Dashboard Data Scientist to serve as the leader of the IR dashboard team....,74988.0,130284.0,CA,Los Angeles
97,SENIOR DASHBOARD DATA SCIENTIST,"Los Angeles, CA 90032","California State University, Los Angeles",102636.0,7.0,53.4,SENIOR DASHBOARD DATA SCIENTIST. Cal State LA is seeking a Senior Dashboard Data Scientist to serve as the leader of the IR dashboard team....,74988.0,130284.0,CA,"Los Angeles, C"
98,Senior Research Analyst,"Los Angeles, CA",Tessie Cleveland Community Service Corporation,56000.0,None,None,Technical Skills in Data Collection/Analysis and Database Management/Development. The Research and Evaluation Department at TCCSC is seeking a Senior Analyst to...,56000.0,56000.0,CA,Los Angeles
99,Quantitative Analyst - Multiple Vacancies,"Los Angeles, CA",Selby Jennings,120000.0,None,None,A Top Tier Investment Bank is looking for an experienced risk quant to join their Global Analytics team. This person will be Responsible for independently,120000.0,120000.0,CA,Los Angeles
100,"CHIEF RESEARCH ANALYST, BEHAVIORAL SCIENCES","Los Angeles, CA",Los Angeles County Department of Human Resources,84495.5,None,None,Research experience working with quantifying survey data reliability in sampling size determination for health-related data collection....,73107.0,95884.0,CA,Los Angeles
101,"CHIEF RESEARCH ANALYST, BEHAVIORAL SCIENCES","Los Angeles, CA",Los Angeles County Human Resources,84495.5,None,None,Research experience working with quantifying survey data reliability in sampling size determination for health-related data collection....,73107.0,95884.0,CA,Los Angeles
102,"RESEARCH ANALYST III, BEHAVIORAL SCIENCES","Los Angeles, CA",Los Angeles County Department of Human Resources,79758.5,None,None,Devises data processing procedures that make use of high speed computers and work with computer personnel in the programming and processing of data....,73286.0,86231.0,CA,Los Angeles
103,Clinical Laboratory Scientist (CLS),"Los Angeles, CA","Exact Staff, Inc.",90000.0,89.0,43.2,"Current California Clinical Laboratory Scientist license. Maintains accurate department records, reports and statistical data as required....",90000.0,90000.0,CA,Los Angeles
104,"MEDICAL TECHNOLOGIST, DATA SYSTEMS","Los Angeles, CA",Los Angeles County Department of Human Resources,88765.0,None,None,Develops and documents the backup procedure to assure a continuing flow of essential laboratory data in case breakdown of data systems....,76804.0,100726.0,CA,Los Angeles
105,HUMAN RESOURCES ANALYST IV - Test Research,"Los Angeles, CA",Los Angeles County Department of Human Resources,104708.5,None,None,"An in-person proctored written test measuring written expression, data analysis &amp; decision-making/mathematics, and reading comprehension....",90598.0,118819.0,CA,Los Angeles
106,SENIOR STATISTICAL CLERK,"Los Angeles, CA",Los Angeles County Human Resources,42566.5,None,None,"Compiles pertinent data to verify amounts, totals, and ensure balances. Participates in the coding, sorting, translating, and filing of data for statistical...",36339.0,48794.0,CA,Los Angeles
107,RESEARCH ANALYST II,"Los Angeles, CA",First 5 LA,68772.0,6.0,39.0,Represents First 5 LA in county-wide data development and data sharing efforts. Experience in conducting original research using large-scale public-use data...,55020.0,82524.0,CA,Los Angeles
108,SENIOR STATISTICAL CLERK,"Los Angeles, CA",Los Angeles County Department of Human Resources,42566.5,None,None,"Compiles pertinent data to verify amounts, totals, and ensure balances. Participates in the coding, sorting, translating, and filing of data for statistical...",36339.0,48794.0,CA,Los Angeles
109,Director of Data,"Santa Monica, CA 90404",Career Movement,185000.0,None,None,"ResponsibilitiesImplement and lead continuous improvement to the company’s data strategy and architectureLead data engineering activities, including requirement...",175000.0,195000.0,CA,"Santa Monica, C"
110,Supervising Environmental Soil Scientist,"Chicago, IL",Metropolitan Water Reclamation District of Greater...,128016.0,7.0,51.0,"Collection, analysis, interpretation and presentation of statistical data; Under direction, manages the activities of the Land Reclamation Soil Science Section....",104674.0,151358.0,IL,Chicago
111,Data Scientist -Fitness/Wellness Firm,"Chicago, IL",Hirewell,120000.0,None,None,Bring structure to large quantities of data - turn unstructured data into structured data. Data Extraction Tools:....,120000.0,120000.0,IL,Chicago
112,Data Scientist,"Chicago, IL",Workbridge Associates,95000.0,25.0,41.4,Big data with Hadoop is a plus. A well-respected healthcare corporation that spun off of a major hospital and university is hiring for a Mid-Level Data...,80000.0,110000.0,IL,Chicago
113,Data Scientist (Healthcare Data),"Chicago, IL",Workbridge Associates,110000.0,25.0,41.4,"Ability to work with unstructured healthcare data. A leading provider of healthcare analytics for hospitals, health systems and physicians is looking to grow...",110000.0,110000.0,IL,Chicago
114,Senior Environmental Soil Scientist,"Chicago, IL",Metropolitan Water Reclamation District of Greater...,115185.5,7.0,51.0,"Collection, analysis, interpretation and presentation of statistical data; Under professional supervision supervises technical and clerical staff in...",93257.0,137114.0,IL,Chicago
115,Mid-Level Data Scientist,"Chicago, IL",Workbridge Associates,105000.0,25.0,41.4,"Data, Analytics, Scientist, Science, Python, R, SAS, SQL, Hadoop, Tableau, Analysis, Healthcare, Hospital, University, Career, Job, Chicago, IL,....",105000.0,105000.0,IL,Chicago
116,None,"Chicago, IL",Selby Jennings,150000.0,None,None,"Data Scientist – Big Data/Artificial Intelligence. Build data pipelines using big data technologies like Hadoop, Spark, etc....",135000.0,165000.0,IL,Chicago
117,Quantitative Research Analyst,"Chicago, IL",GinasTechJobs.com,180000.0,None,None,Define and implement data collection and data acquisition methods. Experience with big data or with automated trading is a plus. Quantitative Research Analyst....,180000.0,180000.0,IL,Chicago
118,Statistical Analyst -- Health-7444 - 7444,"Chicago, IL",S.C. International,80000.0,None,None,Extremely successful consulting practice has an immediate need for a Statistical Analyst. Our client is an industry leader in consulting to the healthcare,80000.0,80000.0,IL,Chicago
119,"Senior Data Scientist (H20, Python, and R)","Chicago, IL",Workbridge Associates,132500.0,25.0,41.4,A major Marketing company based in downtown Chicago are looking for a Senior-level Data Scientist to join their growing Data Science team....,110000.0,155000.0,IL,Chicago
120,Lead Data Scientist,"Chicago, IL",Analytic Recruiting,140000.0,2.0,51.0,Take analytical objectives and define data requirements. Analytics Firm seeking a Data Scientist to consult to clients and implement advanced statistical and...,140000.0,140000.0,IL,Chicago
